DateTime,AddedIPs,RemovedIPs
1543364936,179,170
1543366843,150,112
1543369002,156,106
1543370924,164,119
1543372842,197,1832
1543375000,154,2043
1543376894,140,1746
1543378828,160,729
1543380727,123,86
1543382671,132,71
1543384822,264,91
1543386735,1908,70
1543388921,2247,112
1543390821,1924,130
1543392739,395,110
1543394677,433,89
1543396837,164,105
1543398731,2753,150
1543400698,2170,256
1543402595,1813,58
1543404521,148,70
1543406462,211,1514
1543408356,225,698
1543410265,198,83
1543412198,147,72
1543414120,146,96
1543416031,154,108
1543418456,195,624
1543420354,583,107
1543422254,270,112
1543424190,113,125
1543426115,127,131
1543428055,93,126
1543429955,98,124
1543432099,155,111
1543434014,149,119
1543436114,104,99
1543438361,283,135
1543440257,128,117
1543442443,193,146
1543444342,131,96
1543446290,139,107
1543448176,116,94
1543450108,113,96
1543452283,108,132
1543454184,109,114
1543456104,115,95
1543458019,122,176
1543459936,124,97
1543461858,92,97
1543463795,85,103
1543465963,95,114
1543467864,60,99
1543469786,65,99
1543471700,75,578
1543473640,85,2164
1543475562,141,1917
1543477459,132,1871
1543479386,129,292
1543481328,65,281
1543483215,110,136
1543485140,99,2934
1543487066,167,2376
1543488968,964,1977
1543490904,224,160
1543492884,193,208
1543494735,153,179
1543496925,145,194
1543498816,126,145
1543500758,147,163
1543502660,184,429
1543504584,137,186
1543506506,149,2329
1543508673,174,1561
1543510577,151,155
1543512496,552,170
1543514429,151,144
1543516338,164,154
1543518285,1411,145
1543520175,313,189
1543522100,144,136
1543524035,167,147
1543525939,175,161
1543527877,183,178
1543529787,200,318
1543531703,154,175
1543533884,156,168
1543535791,88,149
1543537684,118,154
1543539620,126,160
1543541564,108,160
1543543462,116,170
1543545374,107,170
1543547306,101,169
1543549225,383,86
1543551169,125,81
1543553059,133,96
1543554984,139,81
1543556898,201,71
1543558817,165,84
1543560755,164,108
1543562691,165,115
1543564574,147,111
1543566496,188,167
1543569402,247,176
1543571312,174,114
1543573457,132,197
1543575392,119,866
1543577296,113,207
1543579270,204,162
1543581163,183,156
1543583069,165,131
1543585007,223,142
1543586920,328,148
1543588818,139,175
1543590769,132,152
1543592682,190,159
1543594584,166,134
1543596515,157,154
1543598412,251,471
1543600351,116,135
1543602274,133,171
1543604173,135,1091
1543606094,127,836
1543608053,274,139
1543609951,125,111
1543611879,130,148
1543614038,98,158
1543615973,103,144
1543617866,135,136
1543619791,141,114
1543621965,199,119
1543623859,663,139
1543625800,68,115
1543627728,84,124
1543629663,61,119
1543631781,79,145
1543633719,57,128
1543635654,63,389
1543637538,58,142
1543639475,153,119
1543641380,88,131
1543643302,839,122
1543645232,2791,133
1543647154,2170,138
1543649067,685,113
1543651007,149,137
1543652889,80,166
1543654848,83,180
1543656761,102,172
1543658664,167,196
1543660596,146,146
1543662521,168,149
1543664433,238,124
1543666363,268,133
1543668277,247,204
1543670206,141,142
1543672337,262,242
1543674276,131,317
1543676191,151,158
1543678092,157,137
1543680026,187,149
1543681952,265,173
1543683858,137,230
1543685798,144,191
1543687730,152,130
1543689631,145,140
1543691572,603,139
1543693455,300,162
1543695399,154,135
1543697316,123,160
1543699233,131,123
1543701149,151,113
1543703054,118,177
1543704991,122,127
1543706913,113,162
1543708856,120,95
1543710867,174,586
1543712680,122,64
1543714598,113,82
1543716524,129,76
1543718427,133,64
1543720365,106,52
1543722267,120,69
1543724191,106,100
1543726115,126,173
1543728024,134,216
1543729935,115,1313
1543731869,130,2392
1543733794,153,1463
1543735713,133,239
1543737686,138,87
1543739537,126,69
1543741478,379,67
1543743414,100,120
1543745321,125,134
1543747232,173,123
1543749158,126,136
1543751073,265,216
1543753479,1416,172
1543755396,4845,175
1543757299,1778,118
1543760194,182,298
1543762102,126,106
1543764041,178,135
1543765936,146,116
1543767870,108,322
1543769809,167,133
1543771712,136,103
1543774603,189,184
1543776737,121,169
1543778671,109,243
1543782044,217,197
1543783933,95,95
1543786020,133,150
1543788999,152,152
1543791140,79,105
1543793086,87,102
1543795240,465,128
1543797147,1842,111
1543799086,1885,108
1543800988,1823,85
1543802922,969,114
1543804922,56,189
1543807011,68,111
1543809138,66,101
1543811068,82,99
1543812966,52,101
1543814912,75,122
1543817779,108,174
1543819716,92,353
1543821616,88,213
1543823565,86,139
1543825477,69,150
1543827393,158,261
1543829325,92,148
1543831480,100,148
1543833399,73,277
1543835321,83,159
1543837215,55,233
1543839153,101,176
1543841062,139,4797
1543842986,493,2879
1543844899,121,347
1543847079,103,167
1543848975,523,300
1543850902,87,144
1543852849,212,160
1543854742,124,150
1543856668,170,149
1543858589,120,145
1543860523,201,149
1543862678,158,146
1543864604,136,138
1543866756,146,190
1543868683,140,135
1543871087,211,174
1543872995,124,176
1543874912,120,122
1543876817,119,109
1543878989,175,120
1543880916,120,78
1543882843,125,1651
1543884750,116,2066
1543886673,101,1855
1543888594,118,1628
1543890744,179,111
1543892933,133,117
1543894835,133,72
1543896759,128,129
1543898687,114,74
1543900598,148,98
1543902519,124,319
1543904435,126,75
1543906355,183,418
1543908270,217,220
1543910176,113,201
1543912107,121,87
1543914087,164,94
1543915937,122,286
1543917883,210,121
1543920038,152,242
1543921962,117,98
1543923873,101,66
1543926280,154,122
1543928193,114,91
1543930345,136,515
1543932255,123,118
1543934190,104,112
1543936367,1680,142
1543938255,1691,215
1543940423,1422,158
1543942374,1199,594
1543944260,194,172
1543946196,176,217
1543948108,190,185
1543950036,652,198
1543952223,182,316
1543954129,192,149
1543956151,204,163
1543958437,264,149
1543960354,935,99
1543962259,136,90
1543964225,152,144
1543966368,229,133
1543968288,166,117
1543970186,161,93
1543972344,139,110
1543974263,147,83
1543976207,128,145
1543978100,855,99
1543980019,2006,98
1543982176,2121,146
1543984117,1744,93
1543986093,1649,90
1543987940,1271,137
1543989898,83,87
1543991803,88,201
1543993722,137,314
1543995616,145,138
1543997566,73,112
1543999699,84,163
1544001883,121,144
1544003792,74,106
1544005732,302,246
1544008589,189,149
1544010760,183,105
1544012680,96,115
1544014877,110,126
1544016762,167,112
1544018689,216,132
1544020613,147,110
1544022502,205,1432
1544024441,218,1740
1544026648,234,628
1544028532,280,182
1544030679,195,146
1544032593,172,123
1544034495,214,116
1544037877,360,279
1544039765,219,119
1544041961,297,153
1544043859,296,112
1544046039,232,260
1544047956,169,904
1544049871,177,109
1544051778,194,137
1544053959,196,200
1544055871,164,101
1544057795,198,114
1544059963,225,112
1544061883,183,145
1544063802,180,101
1544065735,144,2067
1544067884,173,2162
1544069786,1347,1615
1544071708,144,1606
1544073854,288,1590
1544075797,162,216
1544077697,163,103
1544079881,184,184
1544082032,213,263
1544083962,305,85
1544085877,307,72
1544087802,137,95
1544089698,135,75
1544091638,148,383
1544093552,120,104
1544095483,763,101
1544097373,3807,106
1544099318,148,81
1544101255,124,85
1544103143,120,158
1544105083,146,217
1544107003,153,136
1544108932,139,139
1544110829,154,124
1544112800,140,567
1544114681,124,1339
1544116581,151,125
1544118516,154,117
1544120434,253,180
1544122502,178,184
1544124745,169,161
1544126678,380,150
1544128584,135,209
1544130534,172,194
1544132437,158,138
1544134363,237,273
1544136721,194,151
1544138922,179,142
1544140928,132,158
1544142755,319,143
1544144661,124,160
1544146603,144,164
1544148526,122,168
1544150435,144,159
1544152358,529,125
1544154366,241,154
1544156206,221,222
1544158114,81,124
1544160283,97,205
1544162193,93,338
1544164342,109,437
1544166261,89,201
1544168439,103,244
1544170338,91,233
1544172273,417,298
1544174189,3597,141
1544176115,3895,924
1544178042,3571,174
1544179933,2137,133
1544181856,107,762
1544183802,78,4292
1544185727,82,163
1544187628,91,228
1544189560,78,150
1544191456,69,162
1544193613,110,178
1544195560,133,141
1544197717,180,191
1544199634,232,161
1544201550,151,163
1544203482,136,141
1544205502,133,204
1544207556,168,156
1544209364,135,143
1544211389,146,156
1544213323,167,350
1544215232,116,161
1544217140,123,160
1544219070,127,152
1544221000,188,204
1544223055,128,192
1544225054,137,143
1544226966,131,144
1544228886,146,303
1544230853,174,160
1544233006,138,212
1544234906,138,136
1544236821,420,155
1544238772,168,179
1544240663,153,152
1544242608,138,241
1544244496,158,97
1544246431,147,85
1544248358,141,125
1544250281,156,104
1544252175,237,88
1544254365,168,120
1544256287,174,90
1544258192,139,98
1544260125,131,3137
1544262038,213,5094
1544263939,172,3912
1544266099,204,3115
1544268276,363,105
1544270198,134,94
1544272134,238,89
1544275043,227,155
1544276920,184,85
1544278830,148,87
1544280754,144,212
1544282656,143,129
1544284832,296,166
1544286741,244,162
1544288665,193,115
1544290615,166,120
1544292671,175,155
1544294674,144,149
1544296588,142,136
1544298517,3228,149
1544300418,127,194
1544302330,136,120
1544304525,138,162
1544306444,142,129
1544308347,129,135
1544310675,179,144
1544312666,170,113
1544314619,153,214
1544316504,122,146
1544318427,209,109
1544320359,152,115
1544322281,136,351
1544324175,125,170
1544326105,114,131
1544328040,119,136
1544329957,113,122
1544331855,99,148
1544333796,231,132
1544335943,102,173
1544337864,117,224
1544339791,109,120
1544341948,102,204
1544343864,109,147
1544345780,94,137
1544347702,1060,168
1544349653,2659,166
1544351565,1475,170
1544353491,101,169
