DateTime,AddedIPs,RemovedIPs
1543370501,17,14
1543372354,7,16
1543374302,16,23
1543376174,13,27
1543378117,13,13
1543380024,10,22
1543381972,10,19
1543383865,16,28
1543385807,11,22
1543387968,7,11
1543389877,13,20
1543391780,10,13
1543393964,467,24
1543395879,43,15
1543397809,47,152
1543399730,127,29
1543401632,8,23
1543403567,18,16
1543405472,27,12
1543407395,57,13
1543409301,64,14
1543411230,29,16
1543413162,33,7
1543415088,27,26
1543417314,16,74
1543419394,82,1307
1543421387,1500,21
1543423222,18,22
1543425163,16,35
1543427080,26,20
1543428994,18,21
1543431153,18,15
1543433063,65,16
1543435000,17,12
1543436920,10,12
1543438909,20,11
1543440764,18,11
1543442926,18,16
1543444838,22,17
1543446751,22,16
1543448663,21,16
1543450827,24,15
1543452767,25,20
1543454677,16,13
1543456602,14,19
1543458517,26,13
1543461404,29,20
1543463297,18,11
1543465218,15,12
1543467149,18,9
1543469316,12,19
1543472207,27,11
1543474136,54,6
1543476038,16,12
1543477960,8,14
1543479885,11,351
1543481778,5,100
1543483971,8,30
1543485922,4,21
1543487797,4,27
1543489729,123,19
1543491647,25,35
1543493567,18,46
1543495465,22,68
1543497398,23,41
1543499318,31,40
1543501222,24,33
1543503164,36,294
1543505335,26,25
1543507308,26,3605
1543509160,18,19
1543511105,23,11
1543512995,27,18
1543514928,19,17
1543516842,19,12
1543519709,1888,73
1543521673,6,15
1543523696,19,12
1543525710,25,12
1543527892,24,20
1543529792,20,37
1543531706,28,24
1543533888,37,24
1543535794,34,23
1543537687,28,18
1543539710,29,24
1543541567,14,21
1543543468,21,19
1543545378,12,28
1543547310,22,19
1543549229,256,17
1543551173,19,13
1543553062,19,14
1543554988,20,16
1543556901,17,20
1543558820,19,18
1543560758,20,53
1543562700,28,22
1543564577,29,18
1543566499,29,13
1543568468,20,4
1543570352,46,5
1543572294,23,3
1543574167,19,5
1543576110,23,127
1543578266,18,21
1543580178,18,18
1543582097,12,21
1543584051,27,24
1543585953,148,25
1543587876,10,21
1543589789,20,39
1543591718,13,27
1543593656,19,25
1543595541,23,15
1543597495,169,21
1543599375,11,27
1543601318,11,17
1543603219,15,18
1543605157,23,1823
1543607062,161,4
1543608870,12,9
1543610671,17,28
