DateTime,Entries,UniqueIPs
1543372356,2003,2003
1543374337,2040,2040
1543376175,2110,2110
1543378118,2176,2176
1543380025,2241,2241
1543381974,2297,2297
1543383867,2349,2349
1543385809,2417,2417
1543387970,2497,2497
1543389879,2555,2555
1543391781,2625,2625
1543393966,2710,2710
1543395882,2754,2754
1543397812,2799,2799
1543399732,2843,2843
1543401634,2899,2899
1543403569,2962,2962
1543405474,3031,3031
1543407397,3092,3092
1543409303,3142,3142
1543411232,3194,3194
1543413165,3235,3235
1543415090,3290,3290
1543417318,3290,3290
1543419396,3283,3283
1543421389,3290,3290
1543423223,3281,3281
1543425165,3275,3275
1543427082,3276,3276
1543428996,3287,3287
1543431155,3297,3297
1543433065,3287,3287
1543435002,3288,3288
1543436922,3286,3286
1543438918,3293,3293
1543440766,3293,3293
1543442927,3302,3302
1543444839,3301,3301
1543446752,3316,3316
1543448664,3312,3312
1543450829,3303,3303
1543452769,3297,3297
1543454679,3300,3300
1543456604,3298,3298
1543458519,3299,3299
1543461405,3298,3298
1543463299,3252,3252
1543465220,3202,3202
1543467150,3162,3162
1543469317,3102,3102
1543472209,3020,3020
1543474137,2959,2959
1543476039,2903,2903
1543477962,2835,2835
1543479886,2773,2773
1543481795,2718,2718
1543483972,2656,2656
1543485925,2606,2606
1543487799,2595,2595
1543489731,2571,2571
1543491648,2539,2539
1543493569,2511,2511
1543495466,2489,2489
1543497412,2462,2462
1543499319,2459,2459
1543501224,2445,2445
1543503177,2429,2429
1543505337,2403,2403
1543507316,2384,2384
1543509161,2352,2352
1543511108,2322,2322
1543512997,2294,2294
1543514930,2275,2275
1543516843,2265,2265
1543518750,2241,2241
1543520658,2216,2216
1543522607,2187,2187
1543524513,2164,2164
1543526443,2143,2143
1543528340,2111,2111
1543530294,2077,2077
1543532216,2040,2040
1543534124,2030,2030
1543536081,1995,1995
1543537947,1964,1964
1543539905,1920,1920
1543541775,1893,1893
1543543963,1856,1856
1543545856,1829,1829
1543547806,1814,1814
1543549725,1874,1874
1543551634,1911,1911
1543553562,1953,1953
1543555479,1996,1996
1543557400,2047,2047
1543559317,2099,2099
1543561306,2149,2149
1543563146,2189,2189
1543565065,2238,2238
1543567004,2288,2288
1543568931,2333,2333
1543570846,2401,2401
1543573013,2448,2448
