DateTime,AddedIPs,RemovedIPs
1543372357,19,15
1543374347,23,12
1543376177,15,8
1543378120,23,4
1543380026,22,7
1543381976,23,9
1543383869,18,7
1543385811,20,9
1543387972,13,17
1543389880,18,21
1543391783,13,9
1543393967,24,7
1543395885,12,3
1543397815,14,17
1543399733,5,5
1543401635,10,12
1543403571,12,22
1543405476,19,22
1543407401,12,32
1543409304,6,29
1543411233,9,17
1543413168,14,36
1543415091,13,26
1543417320,13,44
1543419404,12,27
1543421390,11,21
1543423225,12,20
1543425173,8,20
1543427083,15,6
1543428997,7,8
1543431157,13,7
1543433067,12,8
1543435004,13,7
1543436924,8,13
1543438920,8,9
1543440769,6,7
1543442929,13,10
1543444841,9,14
1543446754,6,9
1543448666,12,8
1543450831,9,15
1543452771,10,16
1543454680,21,10
1543456606,7,21
1543458520,13,15
1543461408,8,28
1543463300,15,21
1543465223,15,29
1543467152,13,20
1543469319,10,24
1543471271,10,16
1543473139,8,20
1543475068,9,16
1543476987,10,11
1543478920,9,26
1543480810,11,19
1543482749,24,13
1543484672,47,14
1543486815,43,11
1543488768,33,14
1543490658,22,10
1543492573,20,20
1543494494,18,12
1543497414,27,13
1543499321,15,10
1543501225,25,14
1543503178,19,11
1543505339,22,14
1543507317,24,7
1543509162,28,15
1543511110,15,8
1543512998,13,16
1543514932,22,7
1543516844,9,12
1543518752,14,10
1543520659,16,13
1543522609,11,13
1543524514,7,6
1543526444,12,5
1543528341,8,11
1543530295,14,12
1543532218,6,7
1543534125,13,13
1543536108,8,7
1543537948,14,5
1543539907,11,15
1543541776,7,14
1543543964,13,7
1543545858,6,11
1543547808,8,5
1543549727,10,10
1543551636,6,15
1543553564,6,13
1543555481,7,8
1543557401,5,10
1543559318,9,10
1543561312,5,7
1543563148,3,5
1543565068,2,10
1543567006,9,8
1543568932,6,27
1543570848,7,42
1543573015,9,38
1543574902,6,31
1543576845,8,23
1543578756,4,23
1543580681,5,13
1543582599,5,20
1543584520,7,26
1543586491,4,18
1543588348,8,27
1543590292,6,23
1543592191,5,22
1543594170,3,32
1543596025,7,27
1543597943,7,17
1543599887,10,19
1543601790,8,18
1543603718,8,12
1543605625,2,18
1543607561,10,23
1543609698,8,15
1543611904,9,13
1543614043,12,10
1543615979,11,12
1543617872,10,7
1543619797,3,9
1543621970,8,10
1543623865,9,10
1543625805,2,13
1543627734,16,13
1543629742,7,10
1543631799,5,7
1543633725,11,6
1543635660,6,9
1543637543,5,8
1543639480,13,7
1543641386,9,6
1543643307,8,7
1543645237,8,4
1543647189,5,9
1543649072,7,2
1543651012,6,1
1543652894,7,5
1543654928,10,8
1543656771,8,9
1543658674,4,5
1543660601,4,8
1543662546,8,9
1543664438,5,7
1543666368,7,6
1543668282,5,3
1543670212,5,6
1543672342,19,4
1543674280,4,8
1543676196,13,8
1543678097,8,6
1543680107,7,1
1543681957,3,4
1543683866,12,7
1543685803,15,15
1543687736,10,3
1543689639,15,11
1543691611,312,5
1543693468,5,6
1543695415,11,6
1543697323,11,8
1543699240,10,11
1543701160,11,16
1543703061,9,11
1543705010,6,8
1543706919,11,3
1543708942,8,10
1543710877,9,5
1543712696,9,7
1543714604,14,10
1543716538,9,6
1543718434,6,5
1543720372,6,9
1543722275,7,6
1543724200,6,5
1543726134,9,15
1543728031,4,6
1543729942,6,8
1543731875,6,7
1543733800,9,8
1543735731,4,7
1543737718,10,2
1543739555,9,7
1543741501,5,11
1543743421,6,10
1543745330,8,7
1543747238,12,6
1543749164,12,9
1543751079,3,3
1543753486,10,13
1543755403,6,5
1543757306,10,9
1543759312,5,14
1543761151,9,5
1543763093,3,12
1543764979,9,10
1543766971,8,6
1543768843,4,3
1543770794,10,15
1543772686,14,15
1543774611,5,9
1543776744,7,42
1543778690,3,40
1543780895,10,7
1543782991,7,10
1543784929,6,11
1543786841,8,11
1543788745,8,12
1543790684,4,4
1543792626,9,8
1543794765,7,8
1543796678,3,9
1543798588,14,7
1543800534,11,9
1543802509,9,10
1543804378,8,7
1543806298,7,4
