DateTime,AddedIPs,RemovedIPs
1543372358,161,65
1543374349,99,82
1543376178,90,46
1543378121,90,30
1543380027,91,37
1543381977,78,43
1543383869,74,32
1543385811,80,35
1543387973,105,35
1543389881,79,27
1543391784,91,40
1543393968,123,36
1543395886,67,47
1543397817,1261,34
1543399734,2661,282
1543401636,2186,19
1543403572,774,37
1543405477,59,61
1543407408,73,649
1543409305,70,37
1543411234,70,27
1543413169,64,23
1543415092,72,26
1543417321,88,61
1543419405,78,84
1543421391,66,63
1543423226,61,68
1543425174,52,82
1543427084,73,83
1543428998,63,73
1543431158,67,51
1543433068,62,69
1543435005,69,67
1543436924,50,64
1543438922,90,85
1543440771,81,67
1543442930,85,78
1543444842,76,64
1543446755,79,49
1543448667,62,62
1543450832,66,65
1543452772,57,69
1543454681,63,67
1543456607,70,66
1543458521,78,126
1543461409,104,74
1543463301,32,53
1543465224,38,59
1543467153,42,53
1543469320,32,57
1543471283,41,51
1543473140,42,60
1543475069,41,56
1543476988,70,65
1543478920,70,81
1543480811,49,64
1543482750,81,64
1543484672,39,2144
1543486816,79,2867
1543488768,131,2286
1543490659,79,88
1543492574,107,113
1543494495,83,104
1543496478,88,89
1543498338,56,83
1543500265,84,86
1543502189,97,92
1543504120,74,116
1543506257,97,111
1543508199,89,119
1543510117,87,89
1543512021,87,97
1543513956,75,119
1543515855,108,96
1543517772,95,95
1543519710,93,111
1543521692,103,95
1543523698,71,110
1543525711,87,123
1543527893,99,125
1543529794,92,106
1543531708,91,121
1543533889,97,108
1543535795,49,104
1543537689,80,102
1543539730,72,104
1543541569,79,102
1543543481,81,124
1543545379,73,119
1543547318,70,119
1543549231,101,42
1543551174,74,32
1543553063,79,54
1543554989,87,31
1543556903,128,35
1543558822,93,45
1543560760,94,53
1543562701,71,58
1543564578,99,65
1543566501,118,105
1543568515,93,41
1543570353,100,87
1543572298,105,72
1543574168,84,121
1543576111,83,72
1543578268,86,103
1543580179,82,107
1543582098,160,82
1543584052,87,59
1543585955,91,88
1543587878,254,75
1543589790,86,95
1543591719,76,65
1543593685,88,89
1543595542,104,67
1543597499,93,88
1543599377,79,84
1543601327,76,77
1543603221,67,90
1543605159,84,74
1543607063,83,93
1543608871,74,66
1543610672,84,69
1543612815,63,89
1543614747,58,76
1543616683,87,80
1543618567,66,89
1543620743,29,81
1543622672,46,58
1543624580,33,74
1543626509,23,62
1543628913,38,116
1543631056,40,99
1543632979,35,75
1543635149,25,116
1543637095,26,84
1543638985,39,76
1543640920,46,81
1543642840,42,70
1543644761,22,74
1543646679,31,100
1543648610,33,77
1543650508,28,86
1543652431,32,113
1543654342,22,109
1543656262,31,99
1543658198,105,166
1543660096,95,106
1543662097,96,102
1543663946,119,81
1543665920,106,82
1543667777,86,156
1543669705,92,114
1543671620,113,86
1543673814,111,307
1543675704,79,91
1543677626,108,108
1543679562,102,88
1543681467,98,104
1543683394,95,117
1543685455,94,109
1543687737,126,97
1543689640,90,85
1543691611,175,93
1543693468,228,92
1543695415,79,96
1543697324,78,113
1543699241,91,79
1543701161,92,67
1543703062,79,103
1543705011,91,81
1543706920,73,23
1543708950,96,55
1543710878,85,37
1543712701,85,18
1543714605,71,29
1543716549,79,40
1543718435,84,31
1543720373,68,21
1543722275,84,29
1543724201,74,26
1543726135,80,53
1543728032,94,119
1543729942,68,30
1543731875,87,26
1543733801,77,27
1543735731,76,32
1543737719,90,36
1543739556,81,23
1543741504,61,32
1543743422,71,43
1543745331,70,88
1543747239,62,86
1543749164,53,73
1543751080,78,118
1543753487,572,105
1543755403,3525,75
1543757307,1727,73
1543759313,87,63
1543761152,59,66
1543763094,76,75
1543764980,64,71
1543766972,70,75
1543768844,72,71
1543770794,69,70
1543772687,70,64
1543774612,66,88
1543776745,71,86
1543778690,57,123
1543780897,82,73
1543782992,69,63
1543784930,58,61
1543786842,71,66
1543788746,48,59
1543790685,21,65
1543792627,37,68
1543794766,34,71
1543796679,26,76
1543798588,16,67
1543800535,26,53
1543802522,19,63
1543804379,22,63
1543806300,20,65
1543808178,19,67
1543810372,30,61
1543812273,25,74
1543814214,28,80
1543816104,27,72
1543818054,28,84
1543820191,23,89
1543822129,23,71
1543824099,38,93
1543825951,31,82
1543827880,32,74
1543829796,50,82
1543831973,57,101
1543833882,54,115
1543835801,37,67
1543837963,36,94
1543839892,36,500
1543841776,27,3397
1543843958,431,2102
1543845880,64,107
1543847807,38,91
1543849973,58,123
1543851879,50,97
1543853806,89,98
1543855714,106,112
1543857632,107,101
1543859552,84,104
1543861486,88,92
1543863381,85,98
1543865682,94,94
1543868238,122,137
1543870364,94,106
1543872274,77,107
1543874500,91,129
1543876365,84,27
1543878534,90,34
1543880925,113,52
1543882850,79,47
1543884768,79,26
1543886680,71,33
1543888610,85,29
1543890751,107,30
1543892941,95,34
1543894842,87,30
1543896767,89,42
1543898694,79,25
1543900605,114,33
1543902539,82,37
1543904451,91,31
1543906362,114,26
1543908276,67,29
1543910183,76,39
1543912114,74,36
1543914126,107,30
