DateTime,AddedIPs,RemovedIPs
1543368384,2,2
1543370517,2,12
1543372360,2,5
1543374351,3,4
1543376180,3,5
1543378122,6,3
1543380029,1,5
1543381978,1,10
1543383871,2,4
1543385813,1,1
1543387974,3,1
1543389882,4,2
1543391785,1,2
1543393969,2,2
1543395902,3,3
1543397819,17,7
1543399735,189,4
1543401638,2,0
1543403574,2,1
1543405478,7,1
1543407409,10,5
1543409307,2,1
1543411236,0,1
1543413170,2,0
1543415094,2,1
1543417323,10,2
1543419406,4,3
1543421393,0,5
1543423228,1,1
1543425176,3,3
1543427104,5,1
1543429000,4,1
1543431159,1,5
1543433069,3,9
1543435006,1,7
1543436926,3,2
1543438927,31,1
1543440772,24,1
1543442931,6,1
1543444844,3,2
1543446757,2,5
1543448668,3,3
1543450834,3,9
1543452773,1,2
1543454683,3,3
1543456609,1,1
1543458522,2,1
1543461411,1,1
1543463302,1,4
1543465226,6,3
1543467156,8,2
1543469322,1,1
1543471307,10,1
1543473141,8,1
1543475079,0,2
1543476989,3,2
1543478922,0,1
1543480814,2,1
1543482753,3,2
1543484674,1,38
1543486818,2,196
1543488769,56,5
1543490660,3,2
1543492575,2,13
1543494496,0,2
1543496501,2,2
1543498339,4,2
1543500267,5,3
1543502190,7,2
1543504121,1,13
1543506258,2,1
1543508200,9,1
1543510118,1,0
1543512022,6,6
1543513958,8,5
1543515856,19,5
1543517773,6,2
1543519712,2,4
1543521713,5,1
1543523700,1,5
1543525712,0,36
1543527895,3,13
1543529796,4,5
1543531709,2,4
1543533891,7,2
1543535797,0,5
1543537690,3,1
1543539732,3,2
1543541576,0,5
1543543500,1,4
1543545381,2,0
1543547320,1,2
1543549235,5,0
1543551177,0,3
1543553065,2,12
1543554991,1,0
1543556905,50,4
1543558823,2,15
1543560762,1,0
1543562703,2,0
1543564579,3,2
1543566502,1,3
1543568525,5,4
1543570355,0,3
1543572302,2,2
1543574169,7,54
1543576114,3,2
1543578269,2,3
1543580180,3,2
1543582100,4,1
1543584054,10,2
1543585956,22,5
1543587879,168,6
1543589792,2,1
1543591720,3,0
1543593696,3,1
1543595544,3,4
1543597503,3,3
1543599378,3,4
1543601328,2,5
1543603222,3,2
1543605160,11,6
1543607064,5,0
1543608873,16,0
1543610673,8,2
1543612816,1,1
1543614748,0,2
1543616685,5,3
1543618568,1,2
1543620744,1,3
1543622674,1,0
1543624582,2,4
1543626511,0,1
1543628914,0,1
1543631057,4,2
1543632980,2,2
1543635150,1,2
1543637097,1,2
1543638986,1,1
1543640921,4,2
1543642842,6,1
1543644762,2,0
1543646690,4,3
1543648612,2,3
1543650510,2,3
1543652432,2,1
1543654343,2,6
1543656264,2,1
1543658199,0,2
1543660097,7,3
1543662101,3,5
1543663948,18,2
1543665926,8,3
1543667778,4,4
1543669706,3,5
1543671621,6,2
1543673815,4,209
1543675705,1,3
1543677627,5,6
1543679563,4,6
1543681469,4,2
1543683395,4,3
1543685456,3,3
1543687741,3,4
1543689641,12,3
1543691613,15,3
1543693470,5,6
1543695417,1,17
1543697325,2,7
1543699242,3,1
1543701162,3,1
1543703063,2,4
1543705013,0,3
1543706922,3,3
1543708952,5,3
1543710879,3,6
1543712710,3,0
1543714607,3,2
1543716551,2,4
1543718436,2,3
1543720375,2,0
1543722277,2,0
1543724204,6,1
1543726137,3,3
1543728033,3,84
1543729944,1,7
1543731877,6,4
1543733802,3,1
1543735733,3,1
1543737721,1,2
1543739557,5,3
1543741511,2,4
1543743423,2,3
1543745332,2,3
1543747240,2,7
1543749166,3,7
1543751081,0,17
1543753488,537,12
1543755405,3648,1
1543757309,1822,4
1543759315,2,2
1543761153,4,3
1543763096,4,2
1543764982,1,1
1543766974,0,2
1543768846,4,2
1543770796,3,2
1543772688,1,1
1543774614,1,6
1543776747,1,16
1543778692,2,8
1543780899,1,2
1543782994,1,1
1543784932,0,1
1543786843,3,3
1543788748,2,1
1543790687,2,0
1543792629,3,1
1543794768,1,1
1543796692,0,1
1543798590,3,2
1543800537,0,2
1543802532,0,1
1543804380,1,0
1543806301,0,1
1543808180,2,0
1543810375,5,2
1543812275,5,2
1543814215,0,2
1543816106,1,1
1543818056,2,5
1543820193,2,2
1543822131,3,1
1543824101,3,1
1543825953,3,3
1543827882,2,2
1543829798,0,1
1543831978,3,2
1543833885,1,2
1543835802,1,2
1543837965,2,1
1543839894,2,466
1543841778,3,3448
1543843959,1,2108
1543845881,3,5
1543847809,0,6
1543849975,1,6
1543851892,3,3
1543853808,7,6
1543855716,5,8
1543857633,6,5
1543859554,1,5
1543861488,3,3
1543863382,4,4
1543865683,7,5
1543868240,3,11
1543870366,4,8
1543872276,4,7
1543874502,1,12
1543876366,6,11
1543878535,2,3
1543880927,3,1
1543882852,2,5
1543884769,2,5
1543886681,1,2
1543888612,2,3
1543890752,2,1
1543892942,3,3
1543894843,0,7
1543896769,6,8
1543898696,4,5
1543900607,0,2
1543902541,0,2
1543904452,8,3
1543906363,8,2
1543908278,2,3
1543910185,2,7
1543912116,4,4
1543914127,6,3
1543915945,4,0
1543917936,3,5
1543920047,3,4
1543921975,3,5
1543923882,7,2
1543926289,9,6
1543928213,2,4
1543930353,1,3
1543932282,12,1
1543934199,5,2
1543936376,9,1
1543938264,1,2
