DateTime,AddedIPs,RemovedIPs
1543372360,26,21
1543374351,23,28
1543376180,19,22
1543378122,27,24
1543380028,27,23
1543381978,21,29
1543383871,29,24
1543385813,18,19
1543387974,27,39
1543389882,27,22
1543391785,27,25
1543393969,27,27
1543395890,23,38
1543397818,36,16
1543399735,21,14
1543401638,24,13
1543403573,21,35
1543405478,23,25
1543407409,34,16
1543409306,33,27
1543411235,20,29
1543413170,29,25
1543415093,24,26
1543417322,41,21
1543419406,35,28
1543421393,24,25
1543423227,30,22
1543425176,18,30
1543427093,35,32
1543429000,31,30
1543431159,29,24
1543433069,36,26
1543435006,33,36
1543436926,29,27
1543438926,18,31
1543440771,34,22
1543442931,36,27
1543444843,36,21
1543446757,28,28
1543448668,34,39
1543450833,34,16
1543452773,29,41
1543454682,28,22
1543456608,31,19
1543458522,47,20
1543461411,40,32
1543463302,27,24
1543465226,32,31
1543467155,30,24
1543469321,33,27
1543471302,29,26
1543473141,36,22
1543475071,40,19
1543476989,34,35
1543478921,25,28
1543480813,37,27
1543482752,33,26
1543484674,31,31
1543486817,73,29
1543488769,35,21
1543490660,31,19
1543492574,49,32
1543494495,41,32
1543496497,24,24
1543498339,24,24
1543500267,19,27
1543502190,32,26
1543504121,29,40
1543506257,29,27
1543508199,34,32
1543510118,36,26
1543512022,35,23
1543513957,24,33
1543515856,28,30
1543517773,25,30
1543519711,32,33
1543521711,50,37
1543523699,33,30
1543525712,20,17
1543527895,25,44
1543529796,27,20
1543531709,41,39
1543533890,35,28
1543535796,18,35
1543537690,28,25
1543539732,32,36
1543541576,25,30
1543543498,36,31
1543545380,27,43
1543547319,27,31
1543549234,34,25
1543551176,16,27
1543553064,23,31
1543554990,32,29
1543556904,21,26
1543558823,17,27
1543560761,48,43
1543562703,23,31
1543564579,19,31
1543566502,46,35
1543568524,28,37
1543570354,34,23
1543572301,40,72
1543574169,17,31
1543576113,28,38
1543578269,28,35
1543580180,24,50
1543582099,97,31
1543584054,25,22
1543585956,21,23
1543587879,28,28
1543589791,33,34
1543591720,25,24
1543593694,34,36
1543595543,30,21
1543597502,40,41
1543599378,35,35
1543601328,20,27
1543603222,24,23
1543605160,17,20
1543607064,24,50
1543608873,18,27
1543610673,24,27
1543612816,20,27
