DateTime,AddedIPs,RemovedIPs
1543291956,2,3
1543293871,2,0
1543295802,2,2
1543297720,1,0
1543299683,3,0
1543301564,1,0
1543303483,2,2
1543305402,1,2
1543307306,6,4
1543309338,0,3
1543311159,1,2
1543313092,6,2
1543314987,3,4
1543316937,2,1
1543318855,1,1
1543320772,4,2
1543322682,3,1
1543324614,1,0
1543326535,0,4
1543328460,1,0
1543330365,1,0
1543332522,0,2
1543334513,1,0
1543336363,1,3
1543338544,2,0
1543340440,1,1
1543342369,2,0
1543344525,2,1
1543348526,5,0
1543350495,2,1
1543352701,0,1
1543354848,0,4
1543356749,1,1
1543358689,0,5
1543360588,0,3
1543362533,3,1
1543364427,4,3
1543366353,2,2
1543368384,2,1
1543370517,6,3
1543372361,1,1
1543374351,2,4
1543376180,1,0
1543378122,2,2
1543380029,2,2
1543381978,3,3
1543383871,3,2
1543385813,1,3
1543387974,2,2
1543389882,2,1
1543391785,1,1
1543393970,0,5
1543395908,2,0
1543397820,2,3
1543399736,2,4
1543401638,1,2
1543403574,2,2
1543405479,1,2
1543407410,2,1
1543409307,7,2
1543411236,3,1
1543413171,1,1
1543415094,1,3
1543417323,1,2
1543419407,1,1
1543421393,2,1
1543423228,1,1
1543425176,0,3
1543427105,1,2
1543429000,4,0
1543431159,3,1
1543435006,0,3
1543436926,0,1
1543438927,3,0
1543442932,0,1
1543444844,0,1
1543446758,2,3
1543448672,0,2
1543450834,1,4
1543452774,2,0
1543454683,5,2
1543456609,2,3
1543458523,2,2
1543461411,5,3
1543463303,3,1
1543465227,1,2
1543467157,1,2
1543469322,1,4
1543471311,2,1
1543473141,0,1
1543475079,2,2
1543476990,5,2
1543478922,2,0
1543480814,3,0
1543482753,3,1
1543484674,3,1
1543486818,5,1
1543488770,2,1
1543490660,1,4
1543492575,4,3
1543494496,1,4
1543496503,4,3
1543498339,3,3
1543500268,2,2
1543502191,3,2
1543504122,2,1
1543506258,1,1
1543508200,0,1
1543510118,0,1
1543512023,4,0
1543513959,0,3
1543515857,3,6
1543519712,3,0
1543521714,1,1
1543523700,2,2
1543527895,2,0
1543529797,1,0
1543533891,2,3
1543535797,2,0
1543537690,2,3
1543539732,0,1
1543541577,0,6
1543543501,2,2
1543545381,2,5
1543547320,1,2
1543549235,0,2
1543551177,3,2
1543553065,1,1
