DateTime,AddedIPs,RemovedIPs
1543262928,1,3
1543264835,1,2
1543266762,2,1
1543268694,1,1
1543272510,3,0
1543274436,0,1
1543276368,0,1
1543282126,0,1
1543286124,0,4
1543288132,2,3
1543290038,1,0
1543291960,1,1
1543293875,0,2
1543295806,0,1
1543297724,1,1
1543299687,0,1
1543301568,1,0
1543303489,2,1
1543305406,1,0
1543307320,0,1
1543309342,0,2
1543311163,1,1
1543314991,1,1
1543316941,3,1
1543318859,0,1
1543320776,0,1
1543322697,1,1
1543324618,2,1
1543326539,2,0
1543328465,1,2
1543330369,2,0
1543332525,1,0
1543334518,2,1
1543336367,3,1
1543338549,1,1
1543340444,3,0
1543342372,1,1
1543344529,3,1
1543348530,1,2
1543350499,2,1
1543352736,0,2
1543354852,0,1
1543358692,1,2
1543360592,0,1
1543364431,1,0
1543366357,2,0
1543368388,1,0
1543372365,1,0
1543374357,2,2
1543378126,1,1
1543387978,0,1
1543389886,1,2
1543391789,0,1
1543393973,2,0
1543395930,1,0
1543397827,1,1
1543399740,1,0
1543401642,0,2
1543403578,1,2
1543407414,2,1
1543409311,1,0
1543411240,1,2
1543413188,0,2
1543415098,3,1
1543417328,3,1
1543419410,1,2
1543421398,2,2
1543423232,1,4
1543425180,1,0
1543427110,0,3
1543429004,0,1
1543431163,1,3
1543433074,2,0
1543435010,4,1
1543436953,0,1
1543438932,6,0
1543440776,1,0
1543442936,3,0
1543444848,1,1
1543446761,2,0
1543452789,2,2
1543454688,2,1
1543456614,1,1
1543458527,0,1
1543460521,2,2
1543462363,0,1
1543464301,3,1
1543466418,4,0
1543468396,1,0
1543470281,1,0
1543472216,1,0
1543474143,3,0
1543476045,0,1
1543477966,1,0
1543479890,2,1
1543483976,0,2
1543485930,1,1
1543487804,1,0
1543489736,2,1
1543491653,1,1
1543493574,0,2
1543495471,0,1
1543497418,0,1
1543501241,1,4
1543503181,3,2
1543505344,1,2
1543507322,2,1
1543509166,1,0
1543511114,2,1
1543513001,2,0
1543514935,3,0
1543516848,0,1
1543518756,1,0
1543520662,1,3
1543522612,1,2
1543524518,0,3
1543526447,1,1
1543528356,1,1
1543530299,1,1
1543532221,1,3
1543534128,2,0
1543536146,1,0
1543537951,3,1
1543539926,3,2
1543541779,1,3
1543543967,4,0
1543545860,1,1
1543547811,1,0
1543549729,2,1
1543551639,2,6
1543553567,0,3
1543555484,1,0
1543557404,0,1
1543559321,3,3
1543561316,1,0
1543563151,1,0
1543565073,6,0
