DateTime,AddedIPs,RemovedIPs
1543293876,0,3
1543295807,1,3
1543297725,2,2
1543299688,2,2
1543301569,1,2
1543303490,1,0
1543305407,0,3
1543307343,1,2
1543309343,1,0
1543311164,1,0
1543313099,2,2
1543314992,0,2
1543316953,0,1
1543318860,2,5
1543320777,1,0
1543322698,0,5
1543324619,1,1
1543326540,2,1
1543328466,1,1
1543330370,2,0
1543332526,1,2
1543334521,3,2
1543336368,1,0
1543338550,2,2
1543340445,1,0
1543342373,1,3
1543344530,1,0
1543346483,1,2
1543348531,0,1
1543350500,0,2
1543352739,1,5
1543354853,0,2
1543356754,1,1
1543358693,1,0
1543360593,1,2
1543362537,1,2
1543364432,1,1
1543366358,2,1
1543370522,0,3
1543372366,1,0
1543376185,1,1
1543378128,1,1
1543381982,0,1
1543385818,1,4
1543387979,3,1
1543389887,2,1
1543391790,3,0
1543393974,1,1
1543395932,0,1
1543397829,0,2
1543399741,0,1
1543401643,1,0
1543403579,2,0
1543405484,2,2
1543407415,0,1
1543409312,3,0
1543411241,0,3
1543415099,0,2
1543417329,2,2
1543419411,1,1
1543421399,2,3
1543423233,1,1
1543425181,1,1
1543427111,1,1
1543429005,1,1
1543431164,0,1
1543433074,0,1
1543436954,1,0
1543438933,1,1
1543440777,3,0
1543442937,3,1
1543444849,1,1
1543446762,3,1
1543448677,1,1
1543450839,0,1
1543452790,2,2
1543454689,1,0
1543456614,2,0
1543458528,3,1
1543462364,2,1
1543464303,4,1
1543468397,1,0
1543470284,1,0
1543472219,2,1
1543474143,2,2
1543476046,1,2
1543477967,0,4
1543479891,1,1
1543481807,3,0
1543483977,1,0
1543485931,1,0
1543487805,2,1
1543489738,3,2
1543491654,1,2
1543493574,1,0
1543495471,0,3
1543497420,6,0
1543501242,2,0
1543503182,0,2
1543505344,3,1
1543507324,1,1
1543509166,0,2
1543511115,3,0
1543513002,0,1
1543514938,1,1
1543516848,0,1
1543518758,2,0
1543520663,2,0
1543522613,0,1
1543526448,4,3
1543528356,1,2
1543530300,2,3
1543532222,3,1
1543534129,2,2
1543536147,1,1
1543539941,5,2
1543541780,2,3
1543543968,1,0
1543545861,3,3
1543547811,2,1
1543549730,2,3
1543551640,1,2
1543553568,1,0
1543555484,2,1
1543557405,0,1
1543559322,0,3
1543561317,0,1
1543563151,0,1
1543567010,1,2
1543568936,0,2
1543570852,1,2
1543573031,1,1
1543574914,3,3
1543576849,0,1
1543578759,0,2
1543580685,1,0
1543582602,2,4
1543584524,0,2
1543586508,2,1
1543588352,2,1
1543590309,1,2
1543592194,0,2
1543594174,1,0
1543596029,1,1
1543597947,3,2
1543599892,1,0
1543601793,1,1
1543605629,0,2
1543607564,1,2
1543609702,3,0
1543611917,3,3
1543614047,0,1
1543615994,1,3
1543617877,2,3
1543619802,2,2
1543621975,1,1
1543623870,4,0
1543625812,3,3
1543627739,0,4
1543631804,1,4
1543633734,1,2
1543635672,2,1
1543637550,2,1
1543639485,1,2
1543641392,4,1
1543643323,2,1
1543645243,4,0
1543647210,1,0
1543649077,1,0
1543651029,1,0
1543652899,0,1
1543654940,3,0
1543656779,0,1
1543658682,1,0
1543660606,1,2
1543662554,1,2
1543666374,1,0
1543668287,1,2
1543670230,1,1
1543672348,1,1
1543674285,3,2
1543676201,2,2
1543680114,1,1
1543681968,4,0
1543683887,2,2
1543685808,3,3
1543687746,3,1
1543689646,6,0
1543691618,2,0
1543693474,0,1
1543695436,3,2
1543697329,1,2
1543699246,0,2
1543703067,2,3
1543705017,0,1
1543706931,1,2
1543708956,3,2
1543710883,0,3
1543712720,1,2
1543714611,1,0
1543718441,2,2
1543720380,4,0
1543722281,1,2
1543724208,4,2
1543726141,1,1
1543728037,0,5
1543729959,1,1
1543731881,1,4
1543733806,2,2
1543735738,0,1
1543737726,1,0
1543739561,1,0
1543741516,3,3
1543743428,1,0
1543745338,3,1
1543747244,2,1
1543749170,3,1
1543751086,2,0
1543753493,0,1
1543755409,1,1
1543757313,2,2
1543759321,2,1
1543761158,1,2
1543763102,3,1
1543764986,1,0
1543766978,1,2
1543768850,3,3
1543770801,2,1
1543772693,0,3
1543774618,0,5
1543776751,3,6
1543778697,2,1
1543780903,1,0
1543782998,2,3
1543784936,0,1
1543786848,2,0
1543788752,1,0
1543790691,0,2
1543792634,2,1
1543794772,0,3
1543796697,2,1
1543798599,1,1
1543800541,1,0
1543802539,1,1
1543804386,0,2
1543806336,0,4
1543808184,0,1
1543810379,0,4
1543812280,2,1
1543814220,2,0
1543816111,3,1
1543818061,1,1
1543820197,1,2
1543822136,3,0
1543824108,1,1
1543825957,1,1
1543827894,4,3
1543829802,0,1
1543831995,0,4
1543833896,1,1
1543835807,0,3
1543837969,2,2
1543839907,1,0
1543841782,1,1
1543843973,0,2
1543845891,0,2
1543847813,1,1
1543849979,2,3
1543851897,1,1
1543853813,2,2
1543855720,0,2
1543857638,1,2
1543861492,3,1
1543863387,3,2
1543865688,2,2
1543868256,1,2
1543870380,0,1
1543872281,0,2
1543876371,0,1
1543878541,1,1
1543880933,2,1
1543882857,1,2
1543884774,3,0
1543886686,1,2
1543888617,3,1
1543890757,1,0
1543892955,1,0
1543898701,1,2
1543900611,5,2
1543902547,0,3
1543904457,3,1
1543906369,1,1
1543908282,1,2
1543910196,1,2
1543912120,2,1
1543914147,1,4
1543917943,2,0
1543920052,1,1
1543923890,1,1
1543926294,5,2
1543928218,0,1
1543930358,1,0
1543934204,1,1
1543936393,0,2
1543938270,3,1
1543940437,0,2
1543942393,1,1
1543944288,2,0
1543946224,2,0
1543948123,2,3
1543950148,0,4
1543952236,1,1
1543954142,2,0
1543956166,1,1
1543958451,2,0
1543962274,1,0
1543964238,2,1
1543966389,2,0
1543968333,3,3
1543970199,1,2
1543972366,1,2
1543974279,3,3
1543976221,1,0
1543978114,1,2
1543980034,1,0
1543982222,3,0
1543984134,2,1
