DateTime,Entries,UniqueIPs
1543172698,108,108
1543176528,107,107
1543178670,107,107
1543182508,108,108
1543184430,108,108
1543186370,104,104
1543188259,108,108
1543190196,106,106
1543192096,106,106
1543193907,106,106
1543195724,107,107
1543197712,106,106
1543199589,105,105
1543201490,105,105
1543203395,106,106
1543205335,109,109
1543207294,107,107
1543209182,105,105
1543211086,105,105
1543213019,106,106
1543214910,104,104
1543217113,103,103
1543219004,103,103
1543221155,104,104
1543223073,103,103
1543224982,101,101
1543226921,100,100
1543228829,101,101
1543230655,101,101
1543232663,100,100
1543234580,101,101
1543236519,100,100
1543240341,101,101
1543242260,101,101
1543244220,100,100
1543246562,100,100
1543248557,100,100
1543250444,102,102
1543252599,91,91
1543254771,87,87
1543256695,88,88
1543258626,88,88
1543260948,90,90
1543262931,91,91
1543264838,91,91
1543266764,90,90
1543268696,91,91
1543270605,92,92
1543272512,94,94
1543274438,94,94
1543276370,94,94
1543278324,95,95
1543280197,94,94
1543282128,94,94
1543284141,95,95
1543286127,96,96
1543288134,98,98
1543290040,97,97
1543291962,96,96
1543293877,96,96
1543295808,97,97
1543299689,98,98
1543301570,99,99
1543303492,100,100
1543305408,99,99
1543307344,98,98
1543309344,100,100
1543313100,101,101
1543314993,99,99
1543316955,96,96
1543320779,96,96
1543322699,95,95
1543324620,98,98
1543326542,99,99
1543328467,97,97
1543330371,96,96
1543332527,95,95
1543334522,94,94
1543336369,93,93
1543338551,95,95
1543340446,98,98
1543342374,102,102
1543344532,99,99
1543346484,100,100
1543348532,99,99
1543350501,101,101
1543352741,101,101
1543354854,101,101
1543356755,101,101
1543358694,101,101
1543360594,101,101
1543364433,103,103
1543366359,105,105
1543368389,105,105
1543374389,104,104
1543376418,104,104
1543380270,103,103
1543382171,102,102
1543384373,102,102
1543388452,101,101
1543390343,102,102
1543392294,99,99
1543396347,95,95
1543398282,93,93
1543400701,93,93
1543402598,95,95
1543404524,96,96
1543406544,96,96
1543408359,97,97
1543410272,99,99
1543412201,97,97
1543414124,95,95
1543416035,96,96
1543418460,95,95
1543420359,97,97
1543422258,96,96
1543424195,96,96
1543426119,104,104
1543428060,103,103
1543429960,100,100
1543432103,100,100
1543434019,102,102
1543436122,101,101
1543438366,98,98
1543440262,99,99
1543442502,97,97
1543444346,97,97
1543446311,97,97
1543448181,97,97
1543450127,97,97
1543452288,94,94
1543454189,95,95
1543456108,97,97
1543458033,98,98
1543459941,99,99
1543461863,96,96
1543463801,96,96
1543465969,99,99
1543467871,97,97
1543471705,98,98
1543473645,97,97
1543477464,99,99
1543479406,98,98
1543485166,97,97
1543487071,98,98
1543488973,97,97
1543490909,98,98
1543492936,98,98
1543494760,95,95
1543496930,95,95
1543498821,96,96
1543502665,95,95
1543506511,95,95
1543508678,93,93
1543510581,94,94
1543512500,94,94
1543514495,96,96
1543516354,97,97
1543518299,97,97
1543520180,94,94
1543522116,97,97
1543525944,96,96
1543527897,98,98
1543529799,96,96
1543531712,93,93
1543533893,92,92
1543535799,89,89
1543537692,89,89
1543539734,85,85
1543543503,83,83
1543545383,82,82
1543547322,80,80
1543549238,80,80
1543551179,79,79
1543560765,78,78
1543562705,77,77
1543568535,75,75
1543572351,74,74
1543578271,72,72
1543580182,70,70
1543582102,73,73
1543584057,72,72
1543585958,71,71
1543589794,70,70
1543591723,71,71
1543593703,71,71
1543595546,73,73
1543597517,71,71
1543599380,72,72
1543601338,74,74
1543603225,73,73
1543605163,74,74
1543607067,73,73
1543608876,73,73
1543613553,72,72
1543617878,77,77
1543619803,78,78
1543621976,80,80
1543623871,78,78
1543627740,79,79
1543631810,78,78
1543633734,78,78
