DateTime,AddedIPs,RemovedIPs
1543372367,15,4
1543374392,12,5
1543376418,9,3
1543378350,19,1
1543380271,19,5
1543382171,16,2
1543384373,14,3
1543386295,15,5
1543388469,10,9
1543390343,10,15
1543392294,12,5
1543394181,15,2
1543396359,9,2
1543398283,8,4
1543400702,6,2
1543402599,9,12
1543404525,11,18
1543406548,10,22
1543408360,6,17
1543410275,2,20
1543412202,8,19
1543414125,11,22
1543416035,8,15
1543418461,10,20
1543420360,2,13
1543422259,7,14
1543424195,5,16
1543426120,7,5
1543428061,1,1
1543429960,8,1
1543432103,4,0
1543434019,5,1
1543436123,7,5
1543438366,7,5
1543440262,3,2
1543442503,8,6
1543444346,6,4
1543446312,4,8
1543448181,11,5
1543450128,3,11
1543452288,6,17
1543454189,12,7
1543456109,7,12
1543458033,4,14
1543459941,5,7
1543461864,7,15
1543463801,9,14
1543465969,10,23
1543467871,5,20
1543469792,7,11
1543471705,7,15
1543473645,6,12
1543475568,1,11
1543477465,5,8
1543479407,6,21
1543481333,8,12
1543483220,22,8
1543485167,41,8
1543487071,30,4
1543488973,27,11
1543490909,17,8
1543492937,10,12
1543494761,11,8
1543496930,17,5
1543498821,9,7
1543500777,15,9
1543502666,18,8
1543504589,13,9
1543506511,15,4
1543508679,26,7
1543510582,15,6
1543512501,8,6
1543514495,14,1
1543516354,8,5
1543518299,6,4
1543520180,11,6
1543522116,11,5
1543524043,5,6
1543525944,4,1
1543527898,4,6
1543529799,8,3
1543531712,4,4
1543533894,7,10
1543535800,5,7
1543537693,5,3
1543539735,5,8
1543541580,5,8
1543543504,4,4
1543545383,3,5
1543547322,2,2
1543549238,2,5
1543551180,2,11
1543553067,2,8
1543554993,4,6
1543556908,2,6
1543558837,0,8
1543560766,0,2
1543562706,3,2
1543564583,0,3
1543566505,0,5
1543568536,1,19
1543570357,4,25
1543572353,2,40
1543574172,2,19
1543576116,1,20
1543578272,1,22
1543580183,0,9
1543582102,1,14
1543584058,2,20
1543585959,2,14
1543587882,1,19
1543589795,1,17
1543591723,2,19
1543593704,0,20
1543595547,1,27
1543597524,1,13
1543599381,3,10
1543601339,3,13
1543603225,1,10
1543605163,0,12
1543607067,1,16
1543608877,4,13
1543611301,4,8
1543613553,7,6
1543615689,9,7
1543617879,8,5
1543619803,1,5
1543621976,7,6
1543623871,5,4
1543625813,2,4
1543627741,9,7
1543629750,2,5
1543631811,4,3
1543633735,6,1
1543635674,3,2
1543637551,1,2
1543639487,7,4
1543641393,3,3
1543643324,2,2
1543645245,4,0
1543647212,3,0
1543649079,2,2
1543651031,4,0
1543652900,3,0
1543654941,1,1
1543656781,1,4
1543658684,0,2
1543660608,3,2
1543662555,1,1
1543664446,2,1
1543666375,3,0
1543668289,1,1
1543670232,2,2
1543672349,3,3
1543674287,1,1
1543676203,2,2
1543678104,1,3
1543680115,3,0
1543681969,1,0
1543683889,3,0
1543685810,2,5
1543687748,4,2
1543689647,6,1
1543691629,4,0
1543693476,0,1
1543695448,3,4
1543697330,2,4
1543699248,0,6
1543701171,4,13
1543703069,1,5
1543705018,0,5
1543706933,4,1
1543708958,3,8
1543710885,3,4
1543712727,2,3
1543714612,0,5
1543716557,2,2
1543718442,1,3
1543720381,2,5
1543722283,2,3
1543724209,3,3
1543726143,1,9
1543728039,1,4
1543729961,2,0
1543731882,2,4
1543733808,4,5
1543735739,1,3
1543737728,1,1
1543739563,4,2
1543741518,1,2
1543743430,3,1
1543745347,1,0
1543747245,4,4
1543749171,4,2
1543751090,1,0
1543753494,4,5
1543755411,2,1
1543757315,4,4
1543759323,4,3
1543761159,3,1
1543763104,2,1
1543764988,4,2
1543766980,4,2
1543768852,2,0
1543770802,0,3
1543772695,5,4
1543774620,4,2
1543776753,2,4
1543778698,1,2
1543780905,5,0
1543783000,3,4
1543784938,0,1
1543786849,2,4
1543788754,1,2
1543790693,1,1
1543792636,4,3
1543794773,2,4
1543796699,3,2
1543798600,7,3
1543800543,2,0
1543802541,5,1
1543804388,0,1
1543806339,0,1
1543808186,3,4
1543810381,2,3
1543812281,3,1
1543814222,4,1
1543816112,5,2
1543818063,2,2
1543820199,0,1
1543822138,1,1
1543824110,2,1
1543825959,2,3
1543827901,5,0
1543829804,4,2
1543831997,1,2
1543833900,4,5
1543835809,3,6
1543837971,1,3
1543839909,1,4
1543841784,5,2
1543843975,4,4
1543845894,4,2
1543847815,3,3
1543849981,7,2
1543851905,7,4
1543853814,4,3
1543855722,4,2
1543857640,6,0
1543859560,4,5
1543861494,8,3
1543863388,2,0
1543865689,4,4
1543868258,2,5
1543870382,3,2
1543872283,5,1
1543874509,5,1
1543876373,4,4
1543878556,4,4
1543880935,6,2
1543882858,6,2
1543884776,7,5
1543886687,3,0
1543888619,6,5
1543890758,4,2
1543892957,4,0
1543894852,7,2
1543896777,8,2
1543898702,4,3
1543900613,7,3
1543902548,5,4
1543904459,4,2
1543906370,5,0
1543908284,4,1
1543910197,4,1
1543912122,8,2
1543914149,8,3
1543915952,3,3
1543917946,4,0
1543920053,4,5
1543921983,6,2
1543923892,7,1
1543926298,9,5
1543928220,3,6
1543930359,7,5
1543932288,5,4
1543934206,4,3
1543936394,6,6
1543938272,4,6
1543940439,5,7
1543942394,3,6
1543944289,5,6
1543946225,5,4
1543948124,5,8
1543950150,6,2
1543952238,2,4
1543954144,4,1
1543956168,4,2
1543958464,6,6
1543960369,4,2
1543962275,1,3
1543964239,5,5
1543966391,3,7
1543968355,4,2
1543970200,6,6
1543972368,9,5
1543974293,3,5
1543976223,5,5
1543978116,7,2
1543980036,4,5
1543982231,4,9
1543984136,5,7
1543986161,7,5
1543988471,5,5
1543990617,3,4
1543992750,2,5
1543994714,3,5
1543996608,0,3
1543998757,7,6
1544000952,5,8
1544002850,4,4
1544004773,4,5
1544006695,6,4
1544008602,7,5
1544010777,6,8
1544012692,2,6
1544014918,2,5
1544016785,101,6
1544018710,106,5
1544020633,3,4
1544022524,4,3
1544024464,3,2
1544026661,3,4
1544028544,5,3
1544030690,4,4
1544032613,3,4
1544034506,5,4
1544036508,3,5
1544038368,5,2
1544040309,3,7
1544042182,4,4
1544044385,4,3
1544046266,2,5
1544048330,6,3
1544050373,4,4
1544052305,2,5
1544054179,4,4
1544056106,5,4
1544058286,7,11
1544060470,5,4
1544062359,10,5
1544064278,4,3
1544066200,5,3
1544068366,7,5
1544070297,7,4
1544072216,7,7
1544074376,2,4
1544076324,2,3
1544078219,5,4
1544080389,3,6
1544082274,7,2
1544084452,3,3
1544086378,3,4
1544088292,9,6
1544090198,4,10
1544092130,5,4
1544094149,4,8
1544095956,5,4
1544097903,4,4
1544099818,3,2
1544101733,5,2
1544103626,3,205
1544105571,6,2
1544107471,4,5
1544109419,9,2
1544111308,16,6
1544113231,7,3
1544115155,12,5
1544117102,14,4
1544118994,21,3
1544120909,12,5
1544122904,6,3
1544124779,5,5
1544126701,5,3
1544128600,2,4
1544130552,23,4
1544132453,35,2
1544134393,37,4
1544136754,26,3
1544138938,31,2
1544140947,22,4
1544142771,8,4
1544144700,27,6
1544146621,19,5
1544148542,12,8
1544150463,16,6
1544152394,26,5
1544154403,10,9
1544156228,6,6
1544158130,5,8
1544160299,18,4
1544162223,12,5
1544164370,3,2
1544166313,3,3
1544168455,4,7
1544170354,4,4
1544172301,1,3
1544174222,5,7
1544176133,1,5
1544178074,1,5
1544179966,2,1
1544181883,4,4
1544183820,2,4
1544185746,6,4
1544187748,9,2
1544189577,9,5
1544191479,13,6
1544193631,8,5
1544195588,4,5
1544197734,7,13
1544199651,3,4
1544201581,7,8
1544203509,9,12
1544205522,5,14
1544207572,8,7
1544209381,1,5
1544211418,4,1
1544213339,3,4
1544215249,5,2
1544217157,11,16
1544219088,14,32
1544221028,17,20
1544223072,12,15
1544225071,18,22
1544226983,17,19
1544228903,15,7
1544230941,4,22
1544233023,11,23
1544234925,14,8
1544236839,13,11
1544238798,13,24
1544240679,6,9
1544242626,16,16
1544244513,5,7
1544246447,4,11
1544248386,7,13
1544250314,7,3
1544252192,4,4
1544254382,27,5
1544256340,5,3
1544258209,3,0
1544260156,0,5
1544262055,2,1
1544263959,4,3
1544266115,7,3
1544268292,4,5
1544270261,9,3
1544272161,1,7
1544274111,0,10
1544275965,1,6
1544277948,2,12
1544280049,5,10
1544281956,0,7
1544283870,4,8
1544285817,8,8
1544287721,2,5
1544289637,3,6
1544291545,7,8
1544293711,27,6
1544295729,5,4
1544297556,16,4
1544299538,21,0
1544301664,15,9
1544303570,8,11
1544305498,10,17
1544307410,4,13
1544309355,21,15
1544311252,41,19
1544313169,38,27
1544315329,59,21
1544317519,24,4
1544319418,8,8
1544321311,18,13
1544323261,9,13
1544325178,9,12
1544327077,5,5
1544329011,2,15
1544331176,1,5
1544333112,6,5
1544334987,3,4
1544336910,1,6
1544338915,8,18
1544340778,8,18
1544342696,8,8
1544344583,3,2
1544346760,4,0
1544348670,5,4
1544350602,8,1
1544352553,12,5
1544354446,19,2
