DateTime,AddedIPs,RemovedIPs
1543673666,4,6
1543675347,5,12
1543676193,1,2
1543677270,1,5
1543680344,10,8
1543680866,4,0
1543682128,1,9
1543684475,6,3
1543685746,7,5
1543686995,8,0
1543688137,3,2
1543689972,3,8
1543691439,7,1
1543693240,4,4
1543694188,4,2
1543695266,2,4
1543696959,3,12
1543698147,1,7
1543699867,8,2
1543701933,7,4
1543702466,3,0
1543704147,6,10
1543704986,2,6
1543706137,2,6
1543707747,0,2
1543709146,6,2
1543710328,3,0
1543711361,0,1
1543712187,2,1
1543713314,2,4
1543715427,1,5
1543716868,6,3
1543718443,3,3
1543720245,3,2
1543722041,2,10
1543724089,5,9
1543725750,1,8
1543726590,1,3
1543727691,1,7
1543729353,3,3
1543731279,3,7
1543732537,2,7
1543733741,4,0
1543734870,3,7
1543737335,1,5
1543738466,2,1
1543739819,2,4
1543740963,3,2
1543742076,2,0
1543742912,1,1
1543744544,6,7
1543745676,2,7
1543746522,4,0
1543748186,4,10
1543749270,3,3
1543750540,4,7
1543752329,4,4
1543752875,1,0
1543754430,4,8
1543756232,6,8
1543758154,6,1
1543760065,7,6
1543760923,2,0
1543761748,3,4
1543763430,5,7
1543765236,6,9
1543767289,9,6
1543768123,2,0
1543769320,3,8
1543770478,4,4
1543772546,3,7
1543774465,3,8
1543775312,2,0
1543776884,6,6
1543778919,4,4
1543780620,3,4
1543781734,4,6
1543782522,4,0
1543784381,8,18
1543786110,4,0
1543788155,6,10
1543789716,2,0
1543790565,1,4
1543792476,3,3
1543794149,6,14
1543794986,1,0
1543796140,1,4
1543797750,4,4
1543798587,3,0
1543799763,1,3
1543800955,2,2
1543802199,5,0
1543803340,3,1
1543804551,1,4
1543806870,7,6
1543808720,1,5
1543810541,1,2
1543812927,8,4
1543814068,2,3
1543815774,1,5
1543816590,1,0
1543817758,5,4
1543819380,2,10
1543821069,4,3
1543822976,3,7
1543823803,5,1
1543824945,4,3
1543826050,3,6
1543827358,6,2
1543828547,6,3
1543830140,3,6
1543831020,4,0
1543832149,3,3
1543832936,2,0
1543834794,8,6
1543836081,4,0
1543836604,3,2
1543837348,3,0
1543839448,3,3
1543840839,5,5
1543842648,2,3
1543844578,3,1
1543845938,6,4
1543847279,4,0
1543848989,4,7
1543850076,1,3
1543851768,7,4
1543853668,3,10
1543855230,8,9
1543857266,12,4
1543858528,4,7
1543860173,7,7
1543861526,11,0
1543862746,9,6
1543863394,4,0
1543864544,1,9
1543866147,7,1
1543868071,5,5
1543869746,4,4
1543870583,1,2
1543871687,6,4
1543872932,5,11
1543873355,2,0
1543874187,3,0
1543875278,2,3
1543876117,6,0
1543877525,1,4
1543878643,4,3
1543879709,2,0
1543881330,6,3
1543882465,5,2
1543883311,2,0
1543885846,5,10
1543887749,2,6
1543888589,3,1
1543889744,2,3
1543890885,3,3
1543892081,1,1
1543893338,1,2
1543894952,5,3
1543896944,6,1
1543898140,2,1
1543899340,4,4
1543900496,3,4
1543902150,5,2
1543903549,6,5
1543905749,5,3
1543907443,6,4
1543909359,2,0
1543911280,6,3
1543912123,3,0
1543914483,8,14
1543915709,3,0
1543916554,0,5
1543917411,1,0
1543919308,10,1
1543920166,3,5
1543922077,5,5
1543923246,7,5
1543924489,2,2
1543925753,5,5
1543926518,3,0
1543927615,4,7
1543929042,4,3
1543929273,2,0
1543930634,9,4
1543931795,5,4
1543932885,4,3
1543934601,3,7
1543936548,7,3
1543937738,3,4
1543938991,5,0
1543940140,2,5
1543941344,7,8
1543942544,2,0
1543943679,3,10
1543944932,5,4
1543946134,8,1
1543947345,8,4
1543948622,6,4
1543950876,2,6
1543952441,12,3
1543954478,5,5
1543955318,2,0
1543956933,6,1
1543958433,4,7
1543959640,2,5
1543961134,3,5
1543962511,4,0
1543965052,3,11
1543966121,1,0
1543967790,3,7
