DateTime,AddedIPs,RemovedIPs
1543707727,368,112
1543709116,53,101
1543710307,120,0
1543711327,49,78
1543712167,33,22
1543713292,30,74
1543714086,27,0
1543715407,67,152
1543716847,65,48
1543718408,117,61
1543720207,101,114
1543720447,13,0
1543722007,64,129
1543723172,71,95
1543724047,60,6
1543725728,93,106
1543726569,50,45
1543727652,59,58
1543729330,98,91
1543731255,122,127
1543732511,75,103
1543733708,71,43
1543734849,55,78
1543735688,50,0
1543737308,85,171
1543738447,51,121
1543739799,76,82
1543740942,71,42
1543742046,73,59
1543742888,48,0
1543744508,94,155
1543745648,110,66
1543746487,98,0
1543748167,143,122
1543749247,44,71
1543750507,119,98
1543752307,187,86
1543752850,71,0
1543754408,282,91
1543756207,305,89
1543758127,100,75
1543760046,127,70
1543760895,83,0
1543761728,54,96
1543763407,90,116
1543765211,137,123
1543767250,126,86
1543768088,49,0
1543769296,98,176
1543770458,179,76
1543772528,119,89
1543774447,172,90
1543775287,45,0
1543776866,87,99
1543778886,128,102
1543780600,94,91
1543781707,69,135
1543782487,49,0
1543784362,134,156
1543786087,123,3
1543788060,98,196
1543789687,63,0
1543790528,51,61
1543792448,94,60
1543794128,74,130
1543794967,29,0
1543796107,48,100
1543797728,63,63
1543798566,48,35
1543799722,70,49
1543800912,41,72
1543802179,52,36
1543803308,76,42
1543804507,88,83
1543805709,56,0
1543806847,88,85
1543808676,106,130
1543809378,52,29
1543810508,74,57
1543812907,130,102
1543814047,63,60
1543815295,61,74
1543815745,42,0
1543816567,37,0
1543817719,40,105
1543819332,99,95
1543821019,122,63
1543822929,102,147
1543823772,78,34
1543824908,77,95
1543826029,74,119
1543827309,66,48
1543828509,77,94
1543830066,60,113
1543830996,61,44
1543832114,60,83
1543832888,50,0
1543834770,119,242
1543836488,98,14
1543837329,46,96
1543838229,39,27
1543839416,90,71
1543840518,76,109
1543841717,96,0
1543842908,95,108
1543844558,151,107
1543845908,118,120
1543847257,82,0
1543848967,132,125
1543850047,77,63
1543851727,104,78
1543853647,158,148
1543855208,88,111
1543857246,110,135
1543858508,118,126
1543860139,107,73
1543861507,130,1
1543862708,60,120
1543863367,45,0
1543864516,63,114
1543865619,65,103
1543866128,47,1
1543868050,103,86
1543868888,43,0
1543869727,41,80
1543870566,34,54
1543871654,75,78
1543872898,86,107
1543873328,15,0
1543874167,44,1
1543875247,57,109
1543876087,34,0
1543879208,157,199
1543879687,20,1
1543881308,76,155
1543882447,64,54
1543883286,48,0
1543885808,110,139
1543887728,117,140
1543888567,31,36
1543889716,44,68
1543890858,81,104
1543892057,64,0
1543893308,62,97
1543894928,103,107
1543895767,40,29
1543896908,70,74
1543898110,68,76
1543899308,74,36
1543900458,53,100
1543902129,77,110
1543903508,58,99
1543905728,117,77
1543907407,113,95
1543909328,108,73
1543911248,117,105
1543912088,33,0
1543914460,167,216
1543915663,61,0
1543916530,42,127
1543917368,28,0
1543919288,85,129
1543920128,50,96
1543922050,83,144
1543923210,59,252
1543924458,70,196
1543925708,72,399
1543926488,40,2
1543927594,54,122
1543929008,73,68
1543929247,20,0
1543930609,80,149
1543931767,55,50
1543932848,112,61
1543934568,117,103
1543935377,52,46
1543936516,78,77
1543937711,66,105
1543938918,113,0
1543938968,3,0
1543940107,88,148
1543941315,79,164
1543942507,75,1
1543943648,86,159
1543944906,98,117
1543946111,132,39
1543947315,90,83
1543948603,88,129
1543950846,137,134
1543952407,127,106
1543954452,136,128
1543955295,52,1
1543956906,88,196
1543958407,56,66
1543959610,44,83
1543961108,65,116
1543962487,54,1
1543965017,119,156
1543966087,31,0
1543967768,52,118
1543968851,54,76
1543969689,47,0
1543970527,33,190
1543972207,83,356
1543973408,72,138
1543974968,103,27
1543976048,38,83
1543977384,93,130
1543979417,101,144
1543979657,20,0
1543980488,60,0
1543982107,73,151
1543983228,67,83
1543984927,64,100
1543985769,44,60
1543986916,45,74
1543988407,61,86
1543990448,170,149
1543991708,79,138
1543992128,24,0
1543994047,93,143
1543995308,59,115
1543996507,59,37
1543997709,95,86
1543998488,60,0
1543999329,41,118
1544001609,153,115
1544002731,60,126
1544003769,91,33
1544004917,83,94
1544006533,105,107
1544007368,61,34
1544008447,56,82
1544010127,116,102
1544011507,98,115
1544012707,64,0
1544013907,64,129
1544015388,112,165
1544016488,78,1
1544017586,54,156
1544019247,128,137
1544020366,68,111
1544021768,134,43
1544022847,115,79
1544023687,74,0
1544024918,132,167
1544026207,121,78
1544027434,128,111
1544028127,59,0
1544029815,163,132
1544031729,152,165
1544032567,73,32
1544033646,84,99
1544034487,64,0
1544036108,147,191
1544037247,119,84
1544040150,343,207
1544041516,152,4
1544042528,97,134
1544044447,225,95
1544045288,71,0
1544046395,79,113
1544047507,80,63
1544048638,81,1
1544049917,63,88
1544051648,99,97
1544052487,43,0
1544054707,142,188
1544056507,120,82
1544057707,67,36
1544057767,4,1
1544058915,131,71
1544059688,58,0
1544061368,80,112
1544062508,68,51
1544064128,116,92
1544064967,53,0
1544066075,53,125
1544067617,85,110
1544069647,119,96
1544070495,51,0
1544071328,46,82
1544072167,77,21
1544073248,60,51
1544074808,95,94
1544076317,79,95
1544076848,30,0
1544078102,47,102
1544080208,147,116
1544081423,84,85
1544082577,97,38
1544083815,119,94
1544085309,155,126
1544086551,136,30
1544087648,84,54
1544089328,61,84
1544090717,83,102
1544092928,146,69
1544094606,84,118
1544095687,51,0
1544096532,39,80
1544097368,41,30
1544098446,73,69
1544100128,95,103
1544102048,119,86
1544102889,35,0
1544103726,45,136
1544104568,46,26
1544105717,59,88
1544107620,140,139
1544108167,36,2
1544109320,85,116
1544110087,43,0
1544111265,82,101
1544112613,171,105
1544112874,17,0
1544114527,97,102
1544115367,44,60
1544116515,95,107
1544118128,109,121
1544118966,58,40
1544120047,76,60
1544121290,116,124
1544121728,37,0
1544122567,85,0
1544123710,89,113
1544125507,142,150
1544126707,69,116
1544128087,86,0
1544129767,140,95
1544130909,74,65
1544132528,94,72
1544133898,81,94
1544135248,71,1
1544136128,50,75
1544138407,115,80
1544138887,20,0
1544140054,42,149
1544141647,64,98
1544143327,95,86
1544145012,80,123
1544146088,48,1
1544147768,95,115
1544148911,63,83
1544150527,93,129
1544152076,74,133
1544154129,124,98
1544154967,66,35
1544156108,69,61
1544156887,28,0
1544158508,91,97
1544159647,52,85
1544161116,139,130
1544162167,56,40
1544163308,57,55
1544164087,43,0
1544164928,44,94
1544167390,132,109
1544168717,78,128
1544169368,30,44
1544170448,75,71
1544171709,83,139
1544172129,22,0
1544173685,74,150
1544175033,64,131
1544177119,114,152
1544178489,104,0
1544179957,107,138
1544181247,52,122
1544182087,50,1
1544183771,124,126
1544184892,67,101
1544186038,120,149
1544187365,102,1
1544188448,106,132
1544189287,63,1
1544190907,105,199
1544192107,84,98
1544193611,115,140
1544196037,151,177
1544197208,72,155
1544198632,140,132
1544200218,164,148
1544200927,49,0
1544201768,40,44
1544202847,52,108
1544203695,57,0
1544205008,87,165
1544206207,137,101
1544206446,14,0
1544208307,96,154
1544210047,80,185
1544210887,35,0
1544212142,43,148
1544213408,72,158
1544214487,35,0
1544217035,102,232
1544218927,83,129
1544220307,56,104
1544221818,52,104
1544223307,66,34
1544224448,40,78
1544225288,49,0
1544226535,50,150
1544228048,94,81
1544228892,32,0
1544230567,42,220
1544231647,30,66
1544232488,45,1
1544235246,111,303
1544237119,70,91
1544237768,23,37
1544238847,34,76
1544240708,74,127
1544241907,56,135
1544243288,73,0
1544244127,39,134
1544244968,80,0
1544246047,43,116
1544247727,77,108
1544249107,55,141
1544250517,56,0
1544252167,81,176
1544253318,44,137
1544254088,29,0
1544255707,86,183
1544256907,66,193
1544258412,114,115
1544260448,140,124
1544261287,231,2
1544262967,543,182
1544264048,583,68
1544265607,227,115
1544266785,79,101
1544267647,65,10
1544269328,96,99
1544270718,94,140
1544271907,84,1
1544272927,68,100
1544274607,154,127
1544275687,119,0
1544277824,152,236
1544279084,74,0
1544280307,97,111
1544282046,128,171
1544282887,64,1
1544283728,94,153
1544285107,145,108
1544286307,146,0
1544287335,125,136
1544289307,172,101
1544290086,51,0
1544291767,126,118
1544292846,73,125
1544293687,56,0
1544294528,50,104
1544296207,104,132
1544297458,68,91
1544298607,140,34
1544300047,126,114
1544300888,50,0
1544301728,43,101
1544303646,117,113
1544305206,99,87
1544306167,50,33
1544307312,59,71
1544308806,96,67
1544310607,107,70
1544312115,72,79
1544313367,49,0
1544314515,93,103
1544315288,70,1
1544316908,93,85
1544318108,106,91
1544318887,38,0
1544319727,41,89
1544321117,77,90
1544322630,86,111
1544323808,65,38
1544325008,73,85
1544326933,136,91
1544327768,31,44
1544328908,71,61
1544329691,44,1
1544332207,137,260
1544333287,103,0
1544334131,112,86
1544336052,113,99
1544337620,113,101
1544339408,104,127
1544340612,62,125
1544343249,153,99
1544344808,100,95
1544345768,58,1
1544346848,69,104
1544348528,117,101
1544349912,104,109
1544351107,92,0
1544352907,129,120
1544354107,70,108
