DateTime,AddedIPs,RemovedIPs
1543671752,3,8
1543672595,3,0
1543673674,1,2
1543675353,0,2
1543676200,0,4
1543677281,0,1
1543680351,4,6
1543680872,2,0
1543682135,1,5
1543684485,6,21
1543685754,2,1
1543687002,8,0
1543688144,1,1
1543689979,3,3
1543691450,1,13
1543693248,1,2
1543694195,1,1
1543695272,1,2
1543696965,3,2
1543698164,0,11
1543699876,1,3
1543701938,3,7
1543702473,1,0
1543704153,3,1
1543704993,2,3
1543706147,15,1
1543707753,2,5
1543709157,1,8
1543710336,3,0
1543711367,1,10
1543712194,3,3
1543713338,4,5
1543714120,2,0
1543715435,7,14
1543716874,5,5
1543718450,8,8
1543720253,3,27
1543722048,6,18
1543724097,9,19
1543725757,5,15
1543726597,4,3
1543727698,1,7
1543729360,3,11
1543731286,4,19
1543732545,6,8
1543733749,6,5
1543734877,6,6
1543735716,3,1
1543737342,5,20
1543738474,3,13
1543739826,3,7
1543740983,3,1
1543742084,14,4
1543742919,3,0
1543744552,1,19
1543745690,2,4
1543746530,2,0
1543748193,4,18
1543749276,2,2
1543750547,3,3
1543752335,0,6
1543752881,1,0
1543754437,1,7
1543756239,5,5
1543758161,1,1
1543760073,24,1
1543760930,18,0
1543761754,7,2
1543763436,4,2
1543765244,3,0
1543767295,2,1
1543768130,2,0
1543769328,2,3
1543770496,3,0
1543772553,1,3
1543774471,4,2
1543775318,7,0
1543776890,2,4
1543778928,3,5
1543780626,1,2
1543781741,1,5
1543782528,2,0
1543784389,1,4
1543785642,2,0
1543786117,1,0
1543788176,4,26
1543789722,2,1
1543790571,1,1
1543792484,2,4
1543794156,3,5
1543794994,0,1
1543796147,2,8
1543797756,7,12
1543798593,1,5
1543799772,11,5
1543800961,6,4
1543802207,5,3
1543803347,7,6
1543804564,6,10
1543806877,17,11
1543808735,9,11
1543809413,7,4
1543810551,7,7
1543812934,16,9
1543814076,5,11
1543815815,4,4
1543816599,6,0
1543817767,4,10
1543819389,4,6
1543821098,11,6
1543822984,26,11
1543823810,9,3
1543824961,8,8
1543826075,4,6
1543827373,5,0
1543828556,3,7
1543830148,3,6
1543831028,4,3
1543832158,1,7
1543833010,5,9
1543835253,10,8
1543836615,6,2
1543837356,5,0
1543838281,1,1
1543839479,3,3
1543840890,3,2
1543842657,5,3
1543844586,1,2
1543845944,3,1
1543847286,3,0
1543848997,3,3
1543850083,0,2
1543851775,1,6
1543853681,1,2
1543855239,3,4
1543857273,2,9
1543858535,0,1
1543860189,2,3
1543861533,5,0
1543862752,2,6
1543863401,4,0
1543864551,4,7
1543866153,4,4
1543868078,3,0
1543868919,1,0
1543869752,4,1
1543870590,1,1
1543871694,3,0
1543873362,6,3
1543875284,2,2
1543876124,3,0
1543877531,3,1
1543878651,0,1
1543879717,3,0
1543881338,2,3
1543882473,4,3
1543883318,4,0
1543885853,9,13
1543887756,10,13
1543888596,4,0
1543889751,5,2
1543890892,7,6
1543892089,10,0
1543892210,1,0
1543893348,6,6
1543894959,5,6
1543895799,4,2
1543896951,6,6
1543898147,15,4
1543899348,2,2
1543900512,4,3
1543902157,12,7
1543903563,6,10
1543905756,7,5
1543907450,6,6
1543909367,7,3
1543911288,11,6
1543912131,2,1
1543914501,31,11
1543915727,2,0
1543916561,5,5
1543917419,6,0
1543919315,9,6
1543920174,3,6
1543922084,8,5
1543923263,2,1
1543924497,3,0
1543925761,2,1
1543926526,6,0
1543927626,3,3
1543929049,2,2
1543929281,1,0
1543930650,3,46
1543931809,1,6
1543932892,1,2
1543934615,1,1
1543935421,1,2
1543936628,3,4
1543937745,1,1
1543938998,2,0
1543940148,2,4
1543941388,1,2
1543942551,2,0
1543943687,1,4
1543944939,4,10
1543946141,1,1
1543947351,10,1
1543948634,2,3
1543950883,7,2
1543952447,1,2
1543954486,2,2
1543955325,2,0
1543956940,0,4
1543958441,1,1
1543959647,1,2
1543961141,1,2
1543962518,2,0
1543965059,3,3
1543966128,2,0
1543967798,1,6
1543968894,1,7
1543969714,4,0
1543970567,4,28
1543972242,3,4
1543973497,5,10
1543975011,14,1
1543976093,4,4
1543977415,3,14
1543979457,7,11
1543979697,1,0
1543980526,2,0
1543982136,7,9
1543983278,8,10
1543984957,2,6
1543985798,8,1
1543986962,1,7
1543988453,5,10
1543990482,10,5
1543991737,0,26
1543992178,1,0
1543994080,10,11
1543995337,5,12
1543996536,3,2
1543997760,2,2
1543998538,2,0
1543999372,1,10
1544000975,5,5
1544002259,5,8
1544003825,11,4
1544004967,1,3
1544006575,6,6
1544007413,3,2
1544008482,2,5
1544010162,6,5
1544011546,5,4
1544012735,1,0
1544013994,1,8
1544015428,11,3
1544016523,3,0
1544017829,1,8
1544019285,4,3
1544020419,2,5
1544021797,6,1
1544022900,3,1
1544023730,2,0
1544024952,2,4
1544026243,0,4
1544027468,1,1
1544028154,1,0
1544029847,6,2
1544031756,2,1
1544032592,3,0
1544033671,1,0
1544034533,4,0
1544036143,3,5
1544040194,4,5
1544042557,1,3
1544044475,4,0
1544047542,1,6
1544048675,2,0
1544049996,1,3
1544051697,0,3
1544052521,2,0
1544054744,0,8
1544056536,3,7
1544057795,4,1
1544058956,5,8
1544059731,6,0
1544061403,4,10
1544062548,10,7
1544064157,6,11
1544065010,4,0
1544066102,2,9
1544067654,5,20
1544069685,7,3
1544070534,1,0
1544071357,6,6
1544072198,2,5
1544073277,5,8
1544074858,7,1
1544076349,6,11
1544076890,4,0
1544078160,5,4
1544080253,6,8
1544081478,1,7
1544082608,4,2
1544083856,2,6
1544085351,9,29
1544086583,5,3
1544087690,4,5
1544089366,5,6
1544090774,4,5
1544092963,3,6
1544094647,2,7
1544095724,1,0
1544096569,0,7
1544097413,2,3
1544098485,1,2
1544100156,6,4
1544102077,6,2
1544102925,2,0
1544103758,1,2
1544104597,3,0
1544105755,1,2
1544107652,3,4
1544108197,1,0
1544110120,3,1
1544111309,1,2
1544112663,3,1
1544112921,1,0
1544114550,1,3
1544115395,2,3
1544116552,4,1
1544118159,2,8
1544119002,1,0
1544120085,2,1
1544121315,1,2
1544122602,1,0
1544123745,2,3
1544125547,2,2
1544126747,0,1
1544128122,1,0
1544129795,0,2
1544130944,2,1
1544132130,3,1
1544132553,1,0
1544133957,0,7
1544136155,3,2
1544137853,0,3
1544138933,1,0
1544140111,4,11
1544141685,6,2
1544143360,6,10
1544145053,7,14
1544146122,4,0
1544147805,4,12
1544148950,1,5
1544150132,2,5
1544150554,5,0
1544152119,4,7
1544154160,12,3
1544155011,2,1
1544156934,8,9
1544158540,6,8
1544159678,4,5
1544161161,4,7
1544162213,3,2
1544164123,10,7
1544164974,2,8
1544166251,6,4
1544167422,4,0
1544168815,3,6
1544169408,1,0
1544170490,4,5
1544172160,6,5
1544173746,7,8
1544175076,5,7
1544177178,5,4
1544178532,7,0
1544179988,3,9
1544181275,2,7
1544182128,1,0
1544183798,7,2
1544184955,2,10
1544186084,3,8
1544187407,3,0
1544188480,1,3
1544189316,3,0
1544190935,6,4
1544192145,1,3
1544193645,0,6
1544195016,2,0
1544196590,4,1
1544198099,48,0
1544199343,1,5
1544200960,1,6
1544201797,0,1
1544202873,1,1
1544205034,3,7
1544206242,1,0
1544208381,1,5
1544210074,2,3
1544210914,1,0
1544213445,0,5
1544214519,2,0
1544217089,2,6
1544218966,0,1
1544220343,1,0
1544221851,2,0
1544224497,2,0
1544226577,1,1
1544228089,5,4
1544228931,1,0
1544230602,4,7
1544231683,1,3
1544235290,3,25
1544237195,6,9
1544237806,3,0
1544238895,2,6
1544240801,7,7
1544241950,3,4
1544243325,3,0
1544244155,0,9
1544245000,11,0
1544246091,5,6
1544247755,4,8
1544249145,5,8
1544250634,5,1
1544252196,4,2
1544254121,3,4
1544255736,2,6
1544256948,2,9
1544258450,5,8
1544260482,5,8
1544261327,6,1
1544263004,31,3
1544264089,8,3
1544265648,8,6
1544267681,2,3
1544269366,3,1
1544270754,2,10
1544271931,3,0
1544272971,1,4
1544274639,2,7
1544277880,4,5
1544279119,3,0
1544280385,3,4
1544282071,0,3
1544283763,1,1
1544285140,1,5
1544286334,2,0
1544287367,2,4
1544289340,0,2
1544290119,2,0
1544291804,5,1
1544292886,1,3
1544294555,0,2
1544296249,1,0
1544297516,0,2
1544298634,0,1
1544300071,0,2
1544300926,1,0
1544301765,1,4
1544303678,3,1
1544305251,22,0
1544306210,2,2
1544307355,0,4
1544308852,4,1
1544310653,0,6
1544312143,1,7
1544313397,1,0
1544314553,0,5
1544315329,2,0
1544316943,2,8
1544318151,9,4
