DateTime,Entries,UniqueIPs
1543707727,30850,30850
1543709116,30802,30802
1543710307,30922,30922
1543711327,30893,30893
1543712167,30904,30904
1543713292,30860,30860
1543714086,30887,30887
1543715407,30802,30802
1543716847,30819,30819
1543718408,30875,30875
1543720207,30862,30862
1543720447,30875,30875
1543722007,30810,30810
1543723172,30786,30786
1543724047,30840,30840
1543725728,30827,30827
1543726569,30832,30832
1543727652,30833,30833
1543729330,30840,30840
1543731255,30835,30835
1543732511,30807,30807
1543733708,30835,30835
1543734849,30812,30812
1543735688,30862,30862
1543737308,30776,30776
1543738447,30706,30706
1543739799,30700,30700
1543740942,30729,30729
1543742046,30743,30743
1543742888,30791,30791
1543744508,30730,30730
1543745648,30774,30774
1543746487,30872,30872
1543748167,30893,30893
1543749247,30866,30866
1543750507,30887,30887
1543752307,30988,30988
1543752850,31059,31059
1543754408,31250,31250
1543756207,31466,31466
1543758127,31491,31491
1543760046,31548,31548
1543760895,31631,31631
1543761728,31589,31589
1543763407,31563,31563
1543765211,31577,31577
1543767250,31617,31617
1543768088,31666,31666
1543769296,31588,31588
1543770458,31691,31691
1543772528,31721,31721
1543774447,31803,31803
1543775287,31848,31848
1543776866,31836,31836
1543778886,31862,31862
1543780600,31865,31865
1543781707,31799,31799
1543782487,31848,31848
1543784362,31826,31826
1543786087,31946,31946
1543788060,31848,31848
1543789687,31911,31911
1543790528,31901,31901
1543792448,31935,31935
1543794128,31879,31879
1543794967,31908,31908
1543796107,31856,31856
1543797728,31856,31856
1543798566,31869,31869
1543799722,31890,31890
1543800912,31859,31859
1543802179,31875,31875
1543803308,31909,31909
1543804507,31914,31914
1543805709,31970,31970
1543806847,31973,31973
1543808676,31949,31949
1543809378,31972,31972
1543810508,31989,31989
1543812907,32017,32017
1543814047,32020,32020
1543815295,32007,32007
1543815745,32049,32049
1543816567,32086,32086
1543817719,32021,32021
1543819332,32025,32025
1543821019,32084,32084
1543822929,32039,32039
1543823772,32083,32083
1543824908,32065,32065
1543826029,32020,32020
1543827309,32038,32038
1543828509,32021,32021
1543830066,31968,31968
1543830996,31985,31985
1543832114,31962,31962
1543832888,32012,32012
1543834770,31889,31889
1543836488,31973,31973
1543837329,31923,31923
1543838229,31935,31935
1543839416,31954,31954
1543840518,31921,31921
1543841717,32017,32017
1543842908,32004,32004
1543844558,32048,32048
1543845908,32046,32046
1543847257,32128,32128
1543848967,32135,32135
1543850047,32149,32149
1543851727,32175,32175
1543853647,32185,32185
1543855208,32162,32162
1543857246,32137,32137
