DateTime,Entries,UniqueIPs
1543693246,4831,4831
1543694194,4838,4838
1543695270,4851,4851
1543696963,4861,4861
1543698158,4867,4867
1543699873,4900,4900
1543701937,4908,4908
1543702471,4907,4907
1543704152,4924,4924
1543704991,4943,4943
1543706145,4988,4988
1543707751,5282,5282
1543709151,5296,5296
1543710334,5355,5355
1543711366,5339,5339
1543712192,5327,5327
1543713332,5334,5334
1543714119,5324,5324
1543715434,5301,5301
1543716872,5313,5313
1543718448,5355,5355
1543720251,5375,5375
1543720500,5380,5380
1543722046,5335,5335
1543724096,5358,5358
1543725756,5346,5346
1543726596,5352,5352
1543727696,5345,5345
1543729359,5374,5374
1543731285,5421,5421
1543732543,5414,5414
1543733746,5427,5427
1543734876,5416,5416
1543735715,5424,5424
1543737340,5410,5410
1543738472,5338,5338
1543739825,5333,5333
1543740978,5340,5340
1543742082,5325,5325
1543742918,5319,5319
1543744549,5315,5315
1543745687,5352,5352
1543746528,5389,5389
1543748191,5389,5389
1543749275,5386,5386
1543750546,5393,5393
1543752333,5436,5436
1543752880,5454,5454
1543754435,5521,5521
1543756237,5535,5535
1543758160,5525,5525
1543760071,5544,5544
1543760929,5577,5577
1543761753,5572,5572
1543763435,5566,5566
1543765242,5563,5563
1543767294,5611,5611
1543768128,5642,5642
1543769325,5601,5601
1543770487,5704,5704
1543772552,5706,5706
1543774470,5743,5743
1543775317,5764,5764
1543776889,5746,5746
1543778926,5760,5760
1543780625,5774,5774
1543781739,5773,5773
1543782527,5801,5801
1543784388,5860,5860
1543786115,5910,5910
1543788168,5881,5881
1543789720,5849,5849
1543790569,5817,5817
1543792482,5769,5769
1543794154,5684,5684
1543794992,5660,5660
1543796145,5591,5591
1543797754,5564,5564
1543798592,5569,5569
1543799770,5602,5602
1543800960,5559,5559
1543802205,5578,5578
1543803346,5581,5581
1543804561,5578,5578
1543806875,5594,5594
1543808733,5566,5566
1543809411,5565,5565
1543810547,5560,5560
1543812933,5551,5551
1543814075,5554,5554
1543815813,5561,5561
1543816597,5564,5564
1543817765,5522,5522
1543819387,5539,5539
1543821087,5556,5556
1543822982,5494,5494
1543823808,5484,5484
1543824957,5429,5429
1543826064,5391,5391
1543827368,5382,5382
1543828554,5366,5366
1543830146,5350,5350
1543831026,5336,5336
1543832156,5312,5312
1543832946,5321,5321
1543834803,5225,5225
1543836613,5222,5222
1543837354,5230,5230
1543838279,5227,5227
1543839471,5211,5211
1543840846,5182,5182
1543842655,5187,5187
1543844585,5222,5222
1543845943,5193,5193
1543847284,5206,5206
1543848995,5209,5209
1543850082,5194,5194
1543851773,5191,5191
1543853673,5233,5233
1543855237,5204,5204
1543857271,5190,5190
1543858533,5216,5216
