DateTime,AddedIPs,RemovedIPs
1543828809,22,8
1543829783,14,18
1543830975,16,27
1543831960,31,5
1543832892,11,10
1543833861,27,11
1543834829,20,12
1543835787,17,7
1543836758,23,12
1543837939,22,11
1543839142,25,14
1543840088,15,7
1543841054,18,33
1543842020,19,2
1543842980,19,0
1543843946,16,17
1543844893,9,0
1543845866,25,10
1543847073,11,25
1543848009,18,11
1543848968,13,16
1543849961,17,8
1543850894,10,13
1543851865,10,19
1543852822,16,14
1543853784,13,19
1543854735,9,0
1543855701,10,10
1543856662,5,12
1543857618,19,6
1543858582,18,0
1543859540,11,17
1543860517,15,0
1543861474,5,18
1543862660,16,13
1543863622,18,8
1543864597,21,5
1543866051,13,5
1543867225,14,15
1543868677,21,3
1543869873,11,6
1543871079,19,15
1543872007,15,0
1543872989,18,10
1543873955,7,22
1543874897,12,5
1543875860,13,0
1543876810,17,23
1543877793,15,0
1543878982,15,24
1543880181,25,38
1543881375,19,30
1543882340,8,1
1543883292,5,41
1543884255,12,37
1543885221,19,12
1543886182,13,9
1543887134,20,34
1543888116,33,56
1543889081,35,12
1543890008,28,10
1543891249,38,27
1543892276,23,31
1543893379,19,4
1543894347,19,18
1543895295,22,22
1543896264,12,24
1543897219,20,4
1543898180,11,1
1543899149,15,17
1543900105,17,29
1543901052,14,7
1543902016,7,17
1543902971,13,25
1543903937,16,22
1543904890,7,9
1543905857,14,30
1543906822,23,29
1543907799,21,23
1543908734,27,22
1543909716,16,19
1543910679,7,24
1543911612,18,9
1543912570,25,23
1543913529,22,17
1543914502,17,15
1543915469,16,4
1543916413,24,10
1543917368,18,12
1543918360,7,17
1543919542,19,14
1543920490,10,20
1543921465,16,17
1543922414,13,6
1543923386,16,4
1543924331,16,15
1543925567,13,23
1543926754,14,12
1543927692,10,14
1543928665,10,13
1543929608,12,9
1543930588,15,13
1543931535,8,13
1543932523,9,13
1543933470,15,7
1543934413,8,13
1543935370,6,10
1543936361,10,10
1543937540,17,10
1543938495,15,9
1543939464,10,9
1543940417,9,4
1543941370,19,11
1543942367,11,10
1543943295,15,14
1543944253,10,9
1543945210,13,10
1543946189,10,11
1543947158,16,9
1543948091,6,9
1543949053,17,11
1543950017,10,9
1543950984,11,1
1543952178,25,4
1543953134,14,20
1543954123,16,3
1543955059,16,11
1543956033,12,0
1543956972,16,9
1543957938,19,11
1543958895,8,10
1543959851,13,10
1543960984,17,23
1543962252,30,2
1543963214,17,23
1543964216,11,17
1543965136,10,4
1543966362,24,11
1543967319,15,30
1543968281,22,22
1543969469,35,19
1543970409,23,41
1543971368,30,27
1543972337,22,23
1543973308,18,34
1543974255,17,0
1543975249,14,35
1543976201,31,10
1543977164,15,17
1543978093,13,16
1543979055,12,0
1543980012,21,14
1543981000,21,36
1543982170,26,18
1543983144,19,9
1543984110,18,10
1543985051,14,19
1543986075,19,22
1543986997,8,16
1543987934,23,10
1543988909,11,18
1543989881,14,12
1543991072,18,9
