DateTime,AddedIPs,RemovedIPs
1543709324,41,31
1543710253,53,31
1543711217,37,35
1543712183,35,35
1543713144,29,38
1543714110,44,75
1543715058,31,107
1543716039,20,58
1543716981,42,51
1543717938,35,30
1543718919,29,26
1543719868,31,26
1543720818,36,24
1543721777,32,22
1543722747,34,16
1543723711,24,23
1543724659,28,13
1543725610,31,25
1543726574,38,28
1543727553,28,20
1543728501,22,12
1543729458,29,13
1543730443,21,19
1543731389,30,20
1543732341,23,11
1543733294,26,24
1543734263,26,14
1543735223,27,19
1543736183,32,11
1543737131,26,14
1543738099,23,18
1543739075,32,12
1543740014,13,14
1543740970,36,14
1543741945,25,11
1543742892,15,12
1543743867,20,18
1543744818,24,27
1543745784,28,19
1543746744,24,19
1543747698,37,11
1543748663,28,10
1543749633,24,14
1543750586,31,16
1543751536,15,11
1543752793,35,9
1543753954,32,19
1543754893,18,13
1543755859,15,9
1543756808,23,13
1543757790,30,18
1543758729,18,6
1543759712,19,13
1543760671,25,15
1543761632,26,11
1543762570,20,17
1543763547,31,7
1543764490,26,12
1543765475,23,15
1543766416,27,9
1543767387,16,23
1543768339,14,30
1543769290,13,52
1543770263,15,53
1543771215,14,40
1543772180,26,48
1543773148,12,36
1543774094,13,31
1543775051,18,26
1543776011,24,34
1543776988,19,43
1543777957,18,36
1543779142,23,39
1543780350,20,52
1543781321,21,29
1543782509,26,43
1543783476,20,30
1543784423,15,30
1543785382,17,46
1543786336,20,29
1543787289,10,37
1543788266,14,27
1543789212,13,27
1543790174,18,27
1543791132,16,16
1543792094,25,35
1543793074,12,41
1543794009,19,47
1543795221,18,45
1543796179,22,59
1543797141,7,26
1543798092,10,41
1543799074,13,29
1543800007,15,40
1543800975,13,47
1543801931,16,16
1543802915,13,47
1543803850,12,18
1543804915,16,38
1543806283,16,41
1543807456,19,40
1543808409,15,30
1543809385,19,21
1543810359,18,24
1543811294,5,11
1543812259,32,18
1543813243,20,31
1543814193,18,19
1543815383,23,34
1543816334,17,15
1543817314,15,15
1543818251,16,34
1543819216,15,25
1543820178,16,32
1543821162,32,25
1543822094,15,13
1543823059,21,18
1543824027,17,17
1543824980,28,13
1543825939,24,21
1543826894,17,15
1543827862,18,24
1543828809,22,21
1543829783,14,18
1543830975,16,28
1543831960,31,25
1543832892,11,7
1543833861,27,20
1543834829,20,16
1543835787,17,13
1543836758,23,22
1543837939,22,21
1543839142,25,17
1543840088,15,12
1543841054,18,17
1543842020,19,20
1543842980,19,11
1543843946,16,11
1543844893,9,19
1543845866,25,13
1543847073,11,18
1543848009,18,13
1543848968,13,24
1543849961,17,8
1543850894,10,16
1543851865,10,20
1543852822,16,7
1543853784,13,10
1543854735,9,8
1543855701,10,13
1543856662,5,8
1543857618,19,15
1543858582,18,14
1543859540,11,13
1543860517,15,12
1543861474,5,12
1543862660,16,13
1543863622,18,11
1543864597,21,20
1543866051,13,27
1543867225,14,19
1543868677,21,15
1543869873,11,10
1543871079,19,18
1543872007,15,11
1543872989,18,17
1543873955,7,15
1543874897,12,12
1543875860,13,16
1543876810,17,11
1543877793,15,27
1543878982,15,10
1543880181,25,18
1543881375,19,19
1543882340,8,19
1543883292,5,20
1543884255,12,8
1543885221,19,23
1543886182,13,19
1543887134,20,16
1543888116,33,14
1543889081,35,11
1543890008,28,22
1543891249,38,28
1543892276,23,20
1543893379,19,19
1543894347,19,10
1543895295,22,12
1543896264,12,16
1543897219,20,13
1543898180,11,21
1543899149,15,22
1543900105,17,16
1543901052,14,26
1543902016,7,21
1543902971,13,10
1543903937,16,25
1543904890,7,14
1543905857,14,13
1543906822,23,16
1543907799,21,22
1543908734,27,25
1543909716,16,15
1543910679,7,24
1543911612,18,25
1543912570,25,14
1543913529,22,24
1543914502,17,20
1543915469,16,27
1543916413,24,21
1543917368,18,21
1543918360,7,18
1543919542,19,27
1543920490,10,15
1543921465,16,24
1543922414,13,19
1543923386,16,11
1543924331,16,14
1543925567,13,13
1543926754,14,20
1543927692,10,15
1543928665,10,17
1543929608,12,14
1543930588,15,14
1543931535,8,11
1543932523,9,17
1543933470,15,15
1543934413,8,9
1543935370,6,12
1543936361,10,18
1543937540,17,15
1543938495,15,12
1543939464,10,13
1543940417,9,13
1543941370,19,16
1543942367,11,14
1543943295,15,12
1543944253,10,10
1543945210,13,16
1543946189,10,19
1543947158,16,13
1543948091,6,7
1543949053,17,12
1543950017,10,25
1543950984,11,13
1543952178,25,15
1543953134,14,9
1543954123,16,15
1543955059,16,13
1543956033,12,11
1543956972,16,23
1543957938,19,15
1543958895,8,11
1543959851,13,9
1543960984,17,11
1543962252,30,14
1543963214,17,25
1543964216,11,14
1543965136,10,14
1543966362,24,25
1543967319,15,22
1543968281,22,24
1543969469,35,39
1543970409,23,35
1543971368,30,30
1543972337,22,23
1543973308,18,17
1543974255,17,18
1543975249,14,23
1543976201,31,27
1543977164,15,14
1543978093,13,18
1543979055,12,17
1543980012,21,15
1543981000,21,16
1543982170,26,21
1543983144,19,21
1543984110,18,12
1543985051,14,11
1543986075,19,36
1543986997,8,6
1543987934,23,18
1543988909,11,23
1543989881,14,11
1543991072,18,21
1543992276,35,19
1543993238,16,20
1543994179,21,20
1543995156,22,22
1543996117,16,18
1543997058,18,11
1543998008,19,15
1543999235,33,21
1544000195,15,15
1544001374,14,24
1544002339,10,14
1544003290,11,12
1544004267,15,7
1544005211,11,11
1544006179,13,17
1544007136,10,13
1544008117,11,8
1544009071,6,4
1544010253,18,10
1544011265,14,7
1544012199,10,10
1544013153,5,8
1544014332,19,13
1544015292,11,12
1544016257,11,11
1544017212,15,11
1544018171,13,9
1544019159,11,9
1544020094,6,11
1544021053,7,13
1544022011,4,6
1544022999,8,10
1544023958,11,5
1544024890,11,19
1544025867,13,12
1544027075,21,21
1544028017,7,8
1544028997,8,22
1544030176,12,7
1544031137,11,17
1544032101,25,11
1544033062,11,17
1544034009,9,13
1544034989,18,12
1544035954,8,14
1544037139,5,13
1544038351,11,8
1544039290,16,12
1544040287,5,8
1544041451,19,17
1544042414,21,12
1544043384,16,8
1544044368,12,8
1544045539,20,16
1544046489,10,14
1544047461,11,5
1544048673,19,8
1544049857,15,6
1544050853,21,16
1544052284,18,20
1544053453,24,19
1544054418,23,28
1544055381,31,28
1544056332,20,22
1544057291,29,27
1544058262,21,29
1544059216,30,25
1544060442,50,25
1544061367,27,19
1544062342,47,18
1544063289,22,25
1544064259,10,9
1544065221,15,16
1544066185,16,24
1544067378,19,12
1544068338,15,11
1544069314,12,14
1544070276,20,13
1544071238,11,23
1544072201,22,19
1544073398,19,12
1544074361,17,22
1544075293,22,12
1544076287,22,12
1544077234,19,18
1544078203,17,15
1544079373,24,17
1544080362,20,17
1544081539,70,20
1544082491,26,17
1544083463,10,8
1544084424,10,10
1544085389,21,12
1544086363,21,725
1544087299,0,500
1544089232,500,0
1544090171,0,500
1544091137,500,0
1544092114,0,500
1544094048,500,0
1544094986,0,500
1544099801,500,0
1544100735,0,500
1544102671,500,0
1544103611,0,500
1544105544,500,0
1544106491,0,500
1544108427,500,0
1544109402,0,500
1544111292,500,0
1544112267,0,500
1544114191,500,0
1544115137,0,500
1544117074,500,0
1544118011,0,500
1544119935,500,0
1544120893,0,500
1544122839,500,0
1544123783,0,500
1544125954,500,0
1544127136,0,500
1544128087,500,0
1544129070,0,500
1544143212,500,0
1544144193,0,500
1544149962,500,0
1544150895,0,500
1544156654,500,0
1544157621,0,500
1544162659,500,0
1544163607,0,500
1544166759,500,0
1544167956,0,500
1544170837,500,0
1544171777,0,500
1544174675,500,0
1544175614,0,500
1544178489,500,0
1544179472,0,500
1544181400,500,0
1544182359,0,500
1544185234,500,0
1544186182,0,500
1544188117,500,0
1544189068,0,500
1544191933,500,0
1544193158,0,500
1544195056,500,0
1544196012,0,500
1544198172,500,0
1544199178,0,500
1544200095,500,0
1544201051,0,500
1544202988,500,0
1544203941,0,500
1544208737,500,0
1544209707,0,500
1544212842,500,0
1544213778,0,500
1544217608,500,0
1544218570,0,500
1544221453,500,0
1544222418,0,500
1544226279,500,0
1544227247,0,500
1544229138,500,0
1544230116,0,500
1544240654,500,0
1544241621,0,500
1544246425,500,0
1544247396,0,500
1544250275,500,0
1544251458,0,500
1544254343,500,0
1544255289,0,500
1544258410,500,0
1544259639,0,500
1544262491,500,0
1544263483,0,500
1544265636,500,0
1544266610,0,500
1544269693,500,0
1544270656,0,500
1544279536,500,0
1544280490,0,500
1544286271,500,0
1544287236,0,500
1544291075,500,0
1544292017,0,500
1544295152,500,0
1544296120,0,500
1544298009,500,0
1544298968,0,500
1544304017,500,0
1544304978,0,500
1544307876,500,0
1544308809,0,500
1544310669,500,0
1544311714,0,500
1544319401,500,0
1544320355,0,500
1544323239,500,0
1544324170,0,500
1544327055,500,0
1544328024,0,500
1544329952,500,0
1544331150,0,500
1544341942,500,0
1544342902,0,500
1544345774,500,0
1544346742,0,500
1544349637,500,0
1544350585,0,500
1544352515,500,0
1544353484,0,500
