DateTime,Entries,UniqueIPs
1543709324,1549,1549
1543710253,1571,1571
1543711217,1573,1573
1543712183,1573,1573
1543713144,1564,1564
1543714110,1533,1533
1543715058,1457,1457
1543716039,1419,1419
1543716981,1410,1410
1543717938,1415,1415
1543718919,1418,1418
1543719868,1423,1423
1543720818,1435,1435
1543721777,1445,1445
1543722747,1463,1463
1543723711,1464,1464
1543724659,1479,1479
1543725610,1485,1485
1543726574,1495,1495
1543727553,1503,1503
1543728501,1513,1513
1543729458,1529,1529
1543730443,1531,1531
1543731389,1541,1541
1543732341,1553,1553
1543733294,1555,1555
1543734263,1567,1567
1543735223,1575,1575
1543736183,1596,1596
1543737131,1608,1608
1543738099,1613,1613
1543739075,1633,1633
1543740014,1632,1632
1543740970,1654,1654
1543741945,1668,1668
1543742892,1671,1671
1543743867,1673,1673
1543744818,1670,1670
1543745784,1679,1679
1543746744,1684,1684
1543747698,1710,1710
1543748663,1728,1728
1543749633,1738,1738
1543750586,1753,1753
1543751536,1757,1757
1543752793,1783,1783
1543753954,1796,1796
1543754893,1801,1801
1543755859,1807,1807
1543756808,1817,1817
1543757790,1829,1829
1543758729,1841,1841
1543759712,1847,1847
1543760671,1857,1857
1543761632,1872,1872
1543762570,1875,1875
1543763547,1899,1899
1543764490,1913,1913
1543765475,1921,1921
1543766416,1939,1939
1543767387,1932,1932
1543768339,1916,1916
1543769290,1877,1877
1543770263,1839,1839
1543771215,1813,1813
1543772180,1791,1791
1543773148,1767,1767
1543774094,1749,1749
1543775051,1741,1741
1543776011,1731,1731
1543776988,1707,1707
1543777957,1689,1689
1543779142,1673,1673
1543780350,1641,1641
1543781321,1633,1633
1543782509,1616,1616
1543783476,1606,1606
1543784423,1591,1591
1543785382,1562,1562
1543786336,1553,1553
1543787289,1526,1526
1543788266,1513,1513
1543789212,1499,1499
1543790174,1490,1490
1543791132,1490,1490
1543792094,1480,1480
1543793074,1451,1451
1543794009,1423,1423
1543795221,1396,1396
1543796179,1359,1359
1543797141,1340,1340
1543798092,1309,1309
1543799074,1293,1293
1543800007,1268,1268
1543800975,1234,1234
1543801931,1234,1234
1543802915,1200,1200
1543803850,1194,1194
1543804915,1172,1172
1543806283,1147,1147
1543807456,1126,1126
1543808409,1111,1111
1543809385,1109,1109
1543810359,1103,1103
1543811294,1097,1097
1543812259,1111,1111
1543813243,1100,1100
1543814193,1099,1099
1543815383,1088,1088
1543816334,1090,1090
1543817314,1090,1090
1543818251,1072,1072
1543819216,1062,1062
1543820178,1046,1046
1543821162,1053,1053
1543822094,1055,1055
1543823059,1058,1058
1543824027,1058,1058
1543824980,1073,1073
1543825939,1076,1076
1543826894,1078,1078
1543827862,1072,1072
1543828809,1073,1073
1543829783,1069,1069
1543830975,1057,1057
1543831960,1063,1063
1543832892,1067,1067
1543833861,1074,1074
1543834829,1078,1078
1543835787,1082,1082
1543836758,1083,1083
1543837939,1084,1084
1543839142,1092,1092
1543840088,1095,1095
1543841054,1096,1096
1543842020,1095,1095
1543842980,1103,1103
1543843946,1108,1108
1543844893,1098,1098
1543845866,1110,1110
1543847073,1103,1103
1543848009,1108,1108
1543848968,1097,1097
1543849961,1106,1106
1543850894,1100,1100
1543851865,1090,1090
1543852822,1099,1099
1543853784,1102,1102
1543854735,1103,1103
1543855701,1100,1100
1543856662,1097,1097
1543857618,1101,1101
1543858582,1105,1105
1543859540,1103,1103
1543860517,1106,1106
1543861474,1099,1099
1543862660,1102,1102
1543863622,1109,1109
1543864597,1110,1110
1543866051,1096,1096
1543867225,1091,1091
1543868677,1097,1097
1543869873,1098,1098
1543871079,1099,1099
1543872007,1103,1103
1543872989,1104,1104
1543873955,1096,1096
1543874897,1096,1096
1543875860,1093,1093
1543876810,1099,1099
1543877793,1087,1087
1543878982,1092,1092
1543880181,1099,1099
1543881375,1099,1099
1543882340,1088,1088
1543883292,1073,1073
1543884255,1077,1077
1543885221,1073,1073
1543886182,1067,1067
1543887134,1071,1071
1543888116,1090,1090
1543889081,1114,1114
1543890008,1120,1120
1543891249,1130,1130
1543892276,1133,1133
1543893379,1133,1133
1543894347,1142,1142
1543895295,1152,1152
1543896264,1148,1148
1543897219,1155,1155
1543898180,1145,1145
1543899149,1138,1138
1543900105,1139,1139
1543901052,1127,1127
1543902016,1113,1113
1543902971,1116,1116
1543903937,1107,1107
1543904890,1100,1100
1543905857,1101,1101
1543906822,1108,1108
1543907799,1107,1107
1543908734,1109,1109
1543909716,1110,1110
1543910679,1093,1093
1543911612,1086,1086
1543912570,1097,1097
1543913529,1095,1095
1543914502,1092,1092
1543915469,1081,1081
1543916413,1084,1084
1543917368,1081,1081
1543918360,1070,1070
1543919542,1062,1062
1543920490,1057,1057
1543921465,1049,1049
1543922414,1043,1043
1543923386,1048,1048
1543924331,1050,1050
1543925567,1050,1050
1543926754,1044,1044
1543927692,1039,1039
1543928665,1032,1032
1543929608,1030,1030
1543930588,1031,1031
1543931535,1028,1028
1543932523,1020,1020
1543933470,1020,1020
1543934413,1019,1019
1543935370,1013,1013
1543936361,1005,1005
1543937540,1007,1007
1543938495,1010,1010
1543939464,1007,1007
1543940417,1003,1003
1543941370,1006,1006
1543942367,1003,1003
1543943295,1006,1006
1543944253,1006,1006
1543945210,1003,1003
1543946189,994,994
1543947158,997,997
1543948091,996,996
1543949053,1001,1001
1543950017,986,986
1543950984,984,984
1543952178,994,994
1543953134,999,999
1543954123,1000,1000
1543955059,1003,1003
1543956033,1004,1004
1543956972,997,997
1543957938,1001,1001
1543958895,998,998
1543959851,1002,1002
1543960984,1008,1008
1543962252,1024,1024
1543963214,1016,1016
1543964216,1013,1013
1543965136,1009,1009
1543966362,1008,1008
1543967319,1001,1001
1543968281,999,999
1543969469,995,995
1543970409,983,983
1543971368,983,983
1543972337,982,982
1543973308,983,983
1543974255,982,982
1543975249,973,973
1543976201,977,977
1543977164,978,978
1543978093,973,973
1543979055,968,968
1543980012,974,974
1543981000,979,979
1543982170,984,984
1543983144,982,982
1543984110,988,988
1543985051,991,991
1543986075,974,974
1543986997,976,976
1543987934,981,981
1543988909,969,969
1543989881,972,972
1543991072,969,969
1543992276,985,985
1543993238,981,981
1543994179,982,982
1543995156,982,982
1543996117,980,980
1543997058,987,987
1543998008,991,991
1543999235,1003,1003
1544000195,1003,1003
1544001374,993,993
1544002339,989,989
1544003290,988,988
1544004267,996,996
1544005211,996,996
1544006179,992,992
1544007136,989,989
1544008117,992,992
1544009071,994,994
1544010253,1002,1002
1544011265,1009,1009
1544012199,1009,1009
1544013153,1006,1006
1544014332,1012,1012
1544015292,1011,1011
1544016257,1011,1011
1544017212,1015,1015
1544018171,1019,1019
1544019159,1021,1021
