DateTime,AddedIPs,RemovedIPs
1543836760,35,33
1543837941,38,47
1543839144,45,81
1543840090,113,28
1543841057,37,82
1543842022,46,32
1543842981,41,0
1543843948,45,75
1543844895,132,0
1543845868,81,33
1543847074,46,78
1543848011,33,31
1543848970,32,24
1543849962,149,26
1543850897,101,23
1543851867,40,18
1543852824,65,30
1543853786,42,32
1543854738,35,0
1543855704,36,21
1543856664,48,54
1543857621,39,21
1543858584,37,0
1543859542,37,50
1543860519,35,0
1543861476,26,57
1543862662,38,21
1543863625,135,33
1543864599,52,15
1543866053,36,769
1543867228,41,38
1543868679,55,15
1543869876,34,24
1543871081,56,33
1543872009,45,0
1543872991,48,19
1543873956,36,47
1543874899,35,27
1543875863,35,0
1543876812,29,68
1543877795,37,0
1543878984,42,38
1543880183,36,56
1543881377,42,29
1543882342,41,30
1543883294,46,39
1543884258,41,17
1543885222,39,24
1543886184,38,35
1543887135,33,26
1543888118,64,28
1543889083,50,38
1543890011,52,39
1543891251,44,30
1543892277,42,21
1543893381,50,31
1543894348,44,51
1543895296,40,35
1543896267,37,32
1543897221,45,26
1543898182,44,35
1543899152,47,33
1543900106,36,23
1543901055,41,25
1543902018,44,27
1543902973,40,17
1543903939,33,19
1543904892,49,27
1543905860,40,18
1543906825,43,21
1543907801,61,26
1543908736,45,25
1543909719,31,21
1543910682,49,27
1543911614,46,38
1543912572,42,33
1543913531,52,24
1543914504,41,36
1543915471,39,38
1543916416,42,35
1543917370,55,35
1543918361,32,34
1543919544,47,45
1543920491,39,25
1543921467,46,26
1543922416,50,28
1543923387,50,19
1543924333,40,22
1543925568,89,61
1543926756,169,24
1543927694,104,25
1543928667,38,35
1543929610,53,29
1543930590,35,37
1543931536,53,21
1543932524,31,29
1543933473,198,36
1543934415,59,25
1543935372,41,32
1543936362,43,32
1543937542,45,36
1543938497,29,31
1543939466,43,28
1543940418,36,28
1543941372,35,19
1543942369,31,23
1543943297,41,17
1543944256,33,23
1543945212,52,17
1543946191,33,19
1543947160,44,24
1543948093,34,33
1543949056,48,30
1543950020,40,31
1543950986,36,1147
1543952181,27,36
1543953136,40,23
1543954124,36,33
1543955061,45,31
1543956036,39,30
1543956974,34,30
1543957940,40,18
1543958897,24,42
1543959853,30,26
1543960986,43,22
1543962255,31,18
1543963217,34,30
1543964218,19,49
1543965138,36,0
1543966364,23,70
1543967321,40,31
1543968283,41,25
1543969471,40,39
1543970412,49,26
1543971370,36,23
1543972339,36,18
1543973310,45,39
1543974258,40,0
1543975251,41,19
1543976203,50,32
1543977166,46,38
1543978095,39,24
1543979057,35,21
1543980014,38,30
1543981002,40,41
1543982172,49,26
1543983145,51,31
1543984113,38,20
1543985054,42,43
1543986077,32,29
1543986998,39,30
1543987936,35,29
1543988910,39,37
1543989883,53,41
1543991075,40,46
1543992280,52,26
1543993240,39,38
1543994181,43,33
1543995158,53,33
1543996119,43,34
1543997060,40,34
1543998010,48,28
1543999237,42,72
1544000198,52,29
1544001376,42,36
1544002340,32,0
1544003292,33,64
1544004269,38,26
1544005214,49,29
1544006181,35,30
1544007138,40,0
1544008119,50,41
1544009072,35,42
1544010256,38,31
1544011267,46,22
1544012200,32,19
1544013154,32,36
1544014334,33,24
1544015294,34,30
1544016259,31,31
1544017215,36,34
1544018173,36,22
