DateTime,Entries,UniqueIPs
1543836760,97045,105526
1543837941,97020,105500
1543839144,97019,105498
1543840090,97113,105631
1543841057,97103,105627
1543842022,97093,105620
1543842981,97084,105610
1543843948,97089,105615
1543844895,97160,105760
1543845868,97203,105832
1543847074,97200,105831
1543848011,97192,105815
1543848970,97191,105818
1543849962,97282,105945
1543850897,97365,106057
1543851867,97366,106065
1543852824,97354,106068
1543853786,97353,106061
1543854738,97345,106048
1543855704,97344,106052
1543856664,97359,106056
1543857621,97353,106050
1543858584,97349,106045
1543859542,97400,106099
1543860519,97316,105996
1543861476,97287,105970
1543862662,97281,105960
1543863625,98953,107705
1543864599,98976,107724
1543866053,98979,107730
1543867228,98972,107725
1543868679,98945,107696
1543869876,98944,107700
1543871081,98961,107725
1543872009,98975,107753
1543872991,98983,107760
1543873956,98974,107763
1543874899,98984,107768
1543875863,98971,107762
1543876812,98968,107753
1543877795,98982,107762
1543878984,98997,107780
1543880183,99000,107780
1543881377,98995,107778
1543882342,98987,107775
1543883294,99005,107793
1543884258,98999,107794
1543885222,98993,107786
1543886184,98993,107792
1543887135,98982,107784
1543888118,98998,107803
1543889083,99014,107810
1543890011,99036,107831
1543891251,99048,107846
1543892277,99050,107843
1543893381,99055,107847
1543894348,99016,107795
1543895296,99058,107845
1543896267,99050,107844
1543897221,98998,107786
1543898182,99013,107806
1543899152,99081,107881
1543900106,99078,107886
1543901055,99099,107898
1543902018,99057,107854
1543902973,99120,107926
1543903939,99093,107900
1543904892,99088,107894
1543905860,99083,107898
1543906825,99022,107829
1543907801,99020,107827
1543908736,99085,107897
1543909719,98984,107796
1543910682,98986,107807
1543911614,98977,107792
1543912572,99038,107864
1543913531,99045,107875
1543914504,99026,107854
1543915471,99030,107861
1543916416,99016,107843
1543917370,99038,107855
1543918361,98945,107759
1543919544,98929,107737
1543920491,98920,107737
1543921467,98926,107747
1543922416,98939,107764
1543923387,98931,107756
1543924333,98934,107764
1543925568,98983,107824
1543926756,99086,107978
1543927694,99134,108046
1543928667,99123,108039
1543929610,99129,108047
1543930590,99114,108033
1543931536,99137,108051
1543932524,99128,108047
1543933473,99266,108252
1543934415,99302,108289
1543935372,99305,108302
1543936362,99307,108307
1543937542,99296,108304
1543938497,99287,108294
1543939466,99301,108308
1543940418,99310,108312
1543941372,99304,108309
1543942369,99300,108310
1543943297,99298,108316
1543944256,99303,108328
1543945212,99310,108341
1543946191,99309,108345
1543947160,99304,108339
1543948093,99297,108336
1543949056,99294,108338
1543950020,99304,108352
1543950986,99307,108365
1543952181,99291,108347
1543953136,99266,108323
1543954124,99258,108311
1543955061,99262,108318
1543956036,99281,108334
1543956974,99275,108325
1543957940,99268,108331
1543958897,99253,108321
1543959853,99245,108313
1543960986,99243,108311
1543962255,99245,108314
1543963217,99246,108316
1543964218,99250,108317
1543965138,99234,108300
1543966364,99163,108223
1543967321,99160,108227
1543968283,99162,108231
1543969471,99164,108232
1543970412,99165,108232
1543971370,99151,108220
1543972339,99127,108205
1543973310,99109,108189
1543974258,99168,108257
1543975251,99131,108216
1543976203,99113,108198
1543977166,99120,108213
1543978095,99168,108281
1543979057,99156,108272
1543980014,99136,108262
1543981002,99116,108244
1543982172,99127,108256
1543983145,99070,108193
1543984113,99117,108248
1543985054,99124,108249
1543986077,99100,108234
1543986998,99096,108230
1543987936,98986,108108
1543988910,98958,108076
1543989883,98972,108081
1543991075,98965,108075
1543992280,98889,107972
1543993240,98852,107937
1543994181,98908,108003
1543995158,98873,107956
1543996119,98871,107958
1543997060,98922,108013
1543998010,98918,108002
1543999237,98838,107921
1544000198,98859,107961
1544001376,98855,107960
1544002340,98826,107931
1544003292,98819,107918
1544004269,98798,107897
1544005214,98794,107890
1544006181,98773,107866
1544007138,98766,107859
1544008119,98767,107859
1544009072,98768,107866
1544010256,98769,107870
1544011267,98775,107876
1544012200,98752,107855
1544013154,98733,107833
1544014334,98715,107807
1544015294,98717,107803
1544016259,98698,107778
1544017215,98675,107759
1544018173,98664,107746
1544019161,98658,107745
1544020096,98646,107732
1544021055,98631,107730
1544022014,98620,107718
1544023001,98616,107713
1544023960,98611,107712
1544024892,98608,107698
1544025868,98616,107700
1544027078,98579,107662
1544028019,98572,107649
1544028999,98552,107631
1544030178,98530,107600
1544031139,98518,107594
1544032104,98499,107584
1544033063,98498,107577
1544034012,98485,107565
1544034990,98486,107569
1544035956,98478,107560
1544037141,98450,107527
1544038353,98435,107518
1544039291,98432,107509
1544040290,98365,107445
1544041453,98339,107428
1544042417,98331,107422
1544043386,98318,107400
1544044370,98311,107386
1544045541,98311,107387
1544046491,98303,107379
1544047463,98308,107382
1544048674,98305,107379
1544049858,98289,107359
1544050855,98271,107350
1544052286,98211,107277
1544053456,98221,107287
1544054420,98200,107264
1544055383,98199,107264
1544056334,98213,107271
1544057293,98301,107421
1544058263,98316,107436
1544059218,98329,107444
1544060444,98346,107461
1544061368,98366,107490
1544062343,98393,107520
1544063291,98393,107531
1544064261,98409,107545
1544065223,98409,107545
1544066186,98403,107542
1544067379,98406,107546
1544068340,98401,107537
1544069316,98431,107565
1544070278,98435,107575
1544071241,98444,107581
1544072202,98465,107604
1544073400,98479,107618
1544074362,98488,107625
1544075295,98493,107635
1544076290,98494,107632
1544077236,98518,107658
1544078205,98521,107663
1544079375,98518,107661
1544080364,98461,107609
1544081541,98470,107622
1544082493,98482,107638
1544083466,98494,107647
1544084425,98519,107675
1544085391,98520,107678
1544086364,98472,107630
1544087301,98402,107552
1544088277,98337,107481
1544089234,98281,107419
1544090172,98212,107348
1544091138,98237,107374
1544092115,98124,107243
1544093079,98080,107189
1544094049,98049,107152
1544095942,97922,107016
1544097879,97797,106881
1544098819,97736,106814
1544099803,97702,106779
1544101719,97643,106711
1544102672,97584,106631
1544103613,97533,106564
1544104572,97472,106496
1544105545,97497,106521
1544106492,97377,106385
1544108429,97353,106354
1544109403,97272,106244
1544111293,97258,106227
1544112268,97190,106154
1544113217,97127,106084
1544114192,97095,106042
1544115138,97045,105980
1544116123,96999,105929
1544117075,96989,105913
1544118012,96946,105859
1544118974,96903,105811
1544119936,96881,105788
1544120895,96845,105746
1544121856,96787,105684
1544122840,96873,105773
1544123784,96269,105136
1544124740,96229,105091
1544125955,96183,105030
1544127138,96136,104974
1544128089,96130,104960
1544129071,96096,104919
1544130022,96044,104864
1544131002,95995,104814
1544131936,95949,104761
1544132893,95916,104725
1544133858,95877,104684
1544134819,95833,104635
1544135789,95793,104586
1544137248,95743,104532
1544138238,95696,104478
1544139404,95647,104420
1544140339,95610,104370
1544141333,95561,104314
1544142279,95524,104269
1544143213,95522,104258
1544144194,95466,104194
1544145167,95414,104135
1544146113,95372,104082
1544147057,95323,104022
1544148025,95279,103968
1544149964,95256,103939
1544150896,95195,103872
1544151859,95145,103817
1544152819,95084,103746
1544153805,95003,103653
1544154753,94943,103586
1544155698,94882,103515
1544156655,94862,103491
1544157622,94807,103427
1544158578,94744,103359
1544159550,94670,103279
1544160739,94622,103223
1544161694,94551,103147
1544162661,94445,103030
1544164838,94337,102904
1544165792,94285,102841
1544166760,94267,102819
1544167958,94204,102748
1544168910,94148,102691
1544169859,94091,102622
1544170838,94062,102591
1544171778,93986,102508
1544172738,93916,102420
1544173716,93859,102349
1544174676,93848,102334
1544175615,93775,102252
1544176574,93692,102158
1544177542,93605,102061
1544178490,93571,102018
1544179473,93499,101936
1544180433,93434,101864
1544181401,93404,101829
1544182361,93338,101761
1544183291,93283,101697
1544184288,93224,101632
1544185237,93188,101593
1544186184,93130,101524
1544187132,93077,101463
1544188119,93063,101442
1544189069,92978,101345
1544190011,92917,101268
1544190986,92846,101185
1544191935,92795,101132
1544193160,92732,101064
1544194095,92677,100999
1544195058,92661,100979
1544196013,92599,100914
1544197241,92543,100853
1544198174,92505,100809
1544199180,92448,100747
1544200096,92419,100711
1544201052,92363,100640
1544202025,92319,100593
1544202989,92295,100566
1544203943,92243,100508
1544204896,92189,100451
1544205861,92135,100385
1544206831,92104,100349
1544207775,92038,100276
1544208738,92038,100272
1544209708,91977,100208
1544210689,91924,100150
1544211614,91871,100090
1544212844,91793,100000
1544214743,91722,99921
1544215690,91673,99865
1544216678,91622,99804
1544217609,91596,99776
1544218571,91559,99735
1544219548,91501,99672
1544221455,91484,99655
1544222419,91432,99603
1544223376,91391,99560
1544224370,91336,99501
1544225308,91287,99451
1544226280,91275,99437
1544227248,91227,99384
1544228193,91173,99324
1544229139,91125,99268
1544230117,91079,99218
1544231058,91027,99158
1544232018,90964,99090
1544233959,90830,98942
1544235871,90755,98863
1544236810,90675,98773
1544237792,90608,98702
1544238768,90521,98611
1544239692,90419,98504
1544240656,90403,98489
1544241622,90352,98434
1544242604,90297,98371
1544243534,90241,98309
1544244491,90175,98231
1544245471,90107,98155
1544246426,90091,98132
1544247397,90029,98063
1544248354,89992,98012
1544249295,89935,97948
1544250276,89935,97940
1544251460,89879,97877
1544252417,89829,97811
1544253382,89769,97745
1544254344,89731,97707
1544255291,89682,97650
1544256279,89559,97518
1544257471,89507,97462
1544258412,89467,97415
1544259640,89399,97340
1544260603,89333,97264
1544261560,89266,97190
1544262493,89238,97157
1544263484,89168,97083
1544264409,89083,96977
1544265638,89059,96950
1544266611,89004,96885
1544267780,88953,96827
1544268738,88887,96748
1544269694,88803,96655
1544271640,88654,96482
1544272596,88584,96401
1544274516,88447,96251
1544275472,88358,96153
1544276450,88307,96094
1544278368,88242,96023
1544279537,88234,96012
1544280491,88170,95942
1544281475,88053,95811
1544283372,87987,95738
1544284349,87921,95665
1544285335,87862,95602
1544286273,87800,95523
1544287237,87746,95457
1544288209,87675,95383
1544290091,87613,95312
1544291076,87516,95201
1544293249,87393,95058
1544294170,87318,94974
1544295154,87290,94939
1544296121,86665,94292
1544297072,86593,94208
1544298011,86575,94181
1544298969,86504,94103
1544299962,86429,94019
1544301141,86369,93949
1544302111,86318,93887
1544303054,86250,93800
1544304019,86216,93756
1544304980,86145,93680
1544305936,86061,93590
1544306915,85993,93504
1544307878,85944,93448
1544308810,85878,93376
1544310671,85783,93266
1544311715,85705,93175
1544312653,85644,93105
1544313649,85569,93022
1544314616,85518,92949
1544315535,85440,92863
1544316495,85368,92784
1544317463,85297,92706
1544318422,85239,92643
1544319403,85226,92610
1544320356,85162,92537
1544321295,85088,92458
1544322278,85021,92381
1544323240,84974,92327
1544324171,84907,92253
1544325162,84835,92170
1544326097,84777,92102
1544327057,84744,92065
1544328026,84661,91978
1544328992,84581,91882
1544329953,84553,91837
1544331151,84488,91759
1544332113,84421,91684
1544333093,84346,91596
1544334010,84276,91521
1544334967,84201,91430
1544335940,84119,91326
1544336891,84038,91233
1544337860,83947,91142
1544338829,83862,91050
1544339787,83776,90950
1544340740,83693,90854
1544341943,83565,90705
1544342903,83480,90605
1544344836,83299,90412
1544345775,83279,90376
1544347699,83113,90185
1544349638,82964,90014
1544351562,82799,89824
1544352517,82739,89756
1544353485,82659,89661
