DateTime,AddedIPs,RemovedIPs
1543696835,16,0
1543697732,1,0
1543700135,11,0
1543702837,3,0
1543704035,1,0
1543706734,3,0
1543708836,9,0
1543710631,4,0
1543710932,24,0
1543712135,12,0
1543714535,7,0
1543717537,7,0
1543718439,8,0
1543719335,14,0
1543720235,3,0
1543721136,2,0
1543721737,9,0
1543722635,1,0
1543724438,14,0
1543725332,6,0
1543726230,2,0
1543727429,5,0
1543729228,4,0
1543729836,8,0
1543730737,2,0
1543732538,6,0
1543733737,9,0
1543736433,12,0
1543737037,9,0
1543740636,1,0
1543741831,16,0
1543743632,4,0
1543744238,4,0
1543745130,1,0
1543747230,5,0
1543748132,7,0
1543752033,1,0
1543753237,1,0
1543754437,11,0
1543756237,1,0
1543758636,1,0
1543762534,15,0
1543767630,30,0
1543768838,19,0
1543769734,8,0
1543770634,1,0
1543772136,53,0
1543773939,2,0
1543774839,17,0
1543776037,1,0
1543779637,1,0
1543780834,11,0
1543781130,2,0
1543782032,2,0
1543783234,2,0
1543783836,1,0
1543786831,4,0
1543789533,1,0
1543790134,36,0
1543791035,6,0
1543792529,2,0
1543794029,3,0
1543795230,2,0
1543797629,9,0
1543799429,1,0
1543801828,1,0
1543805730,12,0
1543807230,1,0
1543808433,9,0
1543809034,1,0
1543810231,3,0
1543810828,1,0
1543811730,2,0
1543813536,10,0
1543814737,12,0
1543815337,9,0
1543817134,2,0
1543818930,3,0
1543822533,21,0
1543825240,1,0
1543826436,8,0
1543827335,2,0
1543828237,5,0
1543829132,1,0
1543829737,5,0
1543830935,2,0
1543833337,0,1
1543833637,3,0
1543834537,4,0
1543836931,16,0
1543837839,6,0
1543839030,12,0
1543840534,4,0
1543842938,0,7
1543844439,15,0
1543845334,0,1
1543845635,0,2
1543848331,0,3
1543848634,2,0
1543851336,17,0
1543852236,2,0
1543855239,6,0
1543858536,1,0
1543859439,6,0
1543860937,1,0
1543861239,1,0
1543863040,11,0
1543866040,34,0
1543866637,3,0
1543867234,0,6
1543868137,0,14
1543868439,3,4
1543869330,0,11
1543870238,2,9
1543871440,1270,10
1543871738,58,0
1543872038,1,0
1543877137,40,0
1543877737,1,0
1543878336,0,6
1543878933,1,0
1543880138,3,0
1543882233,1,0
1543883732,12,0
1543884636,1,0
1543885537,1,0
1543886738,2,0
1543887634,8,0
1543891230,23,0
1543893630,4,0
1543894832,3,0
1543895737,13,0
1543896631,1,0
1543897530,1,0
1543898136,1,0
1543899032,7,0
1543899931,6,0
1543901430,3,1
1543901734,6,0
1543902933,1,0
1543905338,2,0
1543907131,14,0
1543909235,2,0
1543912538,3,0
1543914036,2,0
1543916136,2,0
1543917040,8,0
1543920039,2,0
1543922436,4,0
1543923333,12,0
1543926037,1,0
1543926940,4,0
1543930536,4,0
1543938042,42,0
1543940439,3,0
1543944038,0,7
1543944937,20,0
1543947938,5,0
1543948838,4,0
1543949439,402,0
1543950340,0,8
1543950936,0,14
1543951535,0,17
1543952136,0,20
1543952734,11,5
1543953038,0,1
1543953636,0,14
1543953940,3,2
1543954533,0,3
1543954841,1,0
1543957834,3,0
1543960235,20,0
1543963836,3,0
1543965328,2,0
1543965640,3,0
1543967729,2,0
1543968934,1,1
1543969235,1,0
1543970132,1,0
1543971332,18,0
1543971636,1,0
1543972237,2,0
1543977034,1,0
1543977337,38,0
1543979430,14,0
1543980934,10,0
1543983033,4,0
1543983930,3,0
1543984829,18,0
1543985431,4,0
1543986932,1,0
1543987530,4,0
1543988430,4,0
1543989333,13,0
1543989931,2,0
1543991736,12,0
1543995630,3,0
1543996529,6,0
1543999237,26,0
1544000136,2,0
1544000730,2,0
1544002838,12,2
1544003136,0,1
1544007038,3,1
1544007937,7,0
1544009438,2,0
1544010036,18,0
1544013339,7,0
1544014240,34,0
1544016038,3,0
1544016931,18,0
1544019028,1,0
1544019937,7,0
1544021438,84,0
1544021733,0,10
1544022337,47,0
1544024440,19,1
1544025636,1,0
1544026533,52,1
1544028339,11,0
1544028938,22,0
1544029534,1,0
1544030130,0,13
1544030436,9,0
1544031630,16,0
1544033436,9,100
1544034334,39,0
1544035233,25,0
1544035830,6,0
1544037035,7,100
1544037636,1,0
1544038834,13,0
1544040929,5,100
1544042131,12,0
1544044234,15,100
1544044836,7,0
1544046037,14,0
1544047835,3,100
1544048437,1,0
1544049636,6,0
1544050532,16,0
1544051730,0,100
1544052036,10,0
1544052932,1,0
1544054131,4,0
1544054730,2,99
1544058634,23,97
1544059232,1,0
1544060432,3,0
1544061029,10,0
1544062231,12,82
1544063731,31,0
1544064635,16,0
1544065532,0,7
1544066132,3,92
1544066727,6,0
1544067634,9,0
1544069132,9,100
1544070633,4,0
1544071229,6,0
1544072129,1,0
1544072733,2,100
1544073636,2,0
1544075735,3,0
1544076637,9,100
1544077239,3,0
1544078134,3,0
1544080237,2,100
1544082038,3,0
1544082939,23,0
1544083836,2,100
1544084739,1,0
1544085639,4,0
1544087139,0,100
1544087730,4,0
1544088636,3,0
1544089230,2,0
1544090136,17,0
1544091032,4,100
1544091632,1,0
1544092535,1,0
1544093437,1,0
1544094337,1,98
1544095838,1,0
1544097036,6,0
1544098233,5,100
1544100038,9,0
1544101539,9,100
1544102437,2,0
1544104529,7,0
1544105433,0,99
1544106334,5,0
1544107834,7,0
1544108735,3,0
1544109336,0,100
1544109937,7,0
1544110536,5,0
1544111733,14,0
1544112039,0,15
1544112633,1,99
1544114438,11,0
1544115039,1,0
1544115938,3,100
1544117440,2,0
1544117738,8,0
1544118938,7,0
1544119539,16,0
1544119839,0,100
1544121333,2,0
1544122233,8,0
1544123136,0,12
1544123735,0,88
1544124035,2,0
1544124638,12,0
1544125236,1,0
1544125838,2,0
1544126432,58,0
1544127034,1,99
1544127637,1,0
1544128834,4,0
1544129733,3,0
1544130337,5,99
1544132439,5,0
1544134233,0,100
1544135742,29,0
1544137530,5,8
1544138133,6,92
1544138729,2,0
1544139328,1256,0
1544141133,0,100
1544142031,1,0
1544142934,1,0
1544143835,8,0
1544145038,2,99
1544145938,5,0
1544148337,7,100
1544150430,10,0
1544152233,19,100
1544154338,12,0
1544154632,6,0
1544155533,5,0
1544156137,0,100
1544157039,7,0
1544157337,7,0
1544159429,7,100
1544161238,7,0
1544163033,2,100
1544164829,5,0
1544166630,0,100
1544167230,2,0
1544168430,5,0
1544169333,3,0
1544169938,2,0
1544170235,0,99
1544171141,3,0
1544171735,10,0
1544173536,0,99
1544174434,2,0
1544175933,9,0
1544177437,17,99
1544179236,5,0
1544180734,0,100
1544182833,3,0
1544184641,0,99
1544187037,2,0
1544187936,0,99
1544189739,3,0
1544190038,1,0
1544191534,0,100
1544192439,1,0
1544193334,1,0
1544194239,9,0
1544195431,0,99
1544196637,2,0
1544198138,1,0
1544199038,3,109
1544201734,7,0
1544202336,7,100
1544203837,1,0
1544204440,3,0
1544205338,4,0
1544206238,8,100
1544207737,1,0
1544208639,8,0
1544210138,3,100
1544211639,2,0
1544212237,4,0
1544213136,1,0
1544213736,0,100
1544214036,1,0
1544215235,17,0
1544215841,10,0
1544217038,2,100
1544218536,1,0
1544218840,2,0
1544219437,1,0
1544220341,4,100
1544222137,4,0
1544223338,1,0
1544223933,6,0
1544224241,0,100
1544225733,3,0
1544227531,0,80
1544228127,0,20
1544231434,3,100
1544233231,1,0
1544233836,1,0
1544234732,0,99
1544236531,7,0
1544238635,4,100
1544240132,15,0
1544241934,0,100
1544244928,5,0
1544245832,3,100
1544247331,14,0
1544249132,2,100
1544250927,20,0
1544252735,2,0
1544253333,0,99
1544254237,2,0
1544254837,20,0
1544256336,1,0
1544256929,0,100
1544257235,23,0
1544259038,7,0
1544259935,0,100
1544260838,2,0
1544262036,7,0
1544263235,0,47
1544263829,4,99
1544266530,17,0
1544267137,0,99
1544269234,12,0
1544271032,0,98
1544271634,1,0
1544272533,1,0
1544273434,2,0
1544274938,0,100
1544277039,3,0
1544277939,0,100
1544278234,10,0
1544278840,3,0
1544279433,3,0
1544280032,2,0
1544281837,3,100
1544283631,14,0
1544285132,0,100
1544285735,3,0
1544287232,1,0
1544289034,4,100
1544289636,2,0
1544291432,24,0
1544292635,3,98
1544293538,1,0
1544295633,31,0
1544295932,0,99
1544297731,1,0
1544299532,2,100
1544302537,10,0
1544303435,2,100
1544304336,1,0
