DateTime,AddedIPs,RemovedIPs
1543946191,242,272
1543946659,76,1
1543947160,258,299
1543948093,236,284
1543948596,4,7
1543949056,284,0
1543950020,282,263
1543950522,77,5
1543950986,305,1832
1543952181,252,286
1543953136,249,307
1543953602,155,0
1543954124,240,276
1543955061,293,14
1543956036,269,315
1543956974,234,281
1543957202,97,0
1543957940,253,254
1543958897,249,259
1543959853,243,270
1543960986,257,267
1543962255,344,250
1543963217,254,561
1543964218,256,259
1543964402,69,0
1543964920,2,4
1543965138,278,28
1543966364,261,280
1543966825,8,6
1543967321,243,262
1543968283,288,3036
1543969014,32,32
1543969471,291,262
1543970412,291,272
1543970910,3,7
1543971370,257,227
1543971602,479,0
1543972339,270,223
1543972837,23,28
1543973310,261,232
1543974258,277,208
1543974742,4,12
1543975251,267,233
1543976203,366,204
1543976655,9,6
1543977166,271,234
1543978095,270,289
1543979057,290,244
1543980014,300,247
1543981002,254,276
1543982172,225,272
1543982686,72,15
1543983145,228,220
1543984113,198,318
1543984589,5,0
1543985054,230,254
1543986077,181,278
1543986507,87,7
1543986998,190,281
1543987936,198,274
1543988910,203,259
1543989883,355,300
1543990604,10,8
1543991075,232,292
1543992280,249,607
1543992737,2,13
1543993240,219,304
1543994181,321,0
1543994675,6,6
1543995158,274,624
1543996119,205,0
1543996594,6,7
1543997060,305,326
1543998010,216,295
1543998744,3,4
1543999237,222,651
1544000198,303,310
1544000926,121,10
1544001376,266,310
1544002340,209,294
1544002836,5,2
1544003292,215,282
1544004269,334,361
1544004760,4,15
1544005214,239,304
1544006181,213,269
1544007138,230,276
1544007602,142,0
1544008119,226,288
1544008582,3,1
1544009072,222,285
1544010256,219,301
1544010756,8,3
1544011267,235,262
1544012200,299,412
1544012677,5,7
1544013154,231,0
1544014334,261,782
1544014802,167,0
1544015294,219,223
1544016259,235,233
1544016759,10,10
1544017215,257,225
1544018173,239,264
1544018684,134,6
1544019161,232,312
1544020096,204,474
1544020599,10,5
1544021055,200,297
1544022014,190,268
1544022499,118,9
1544023001,189,273
1544023960,216,340
1544024438,8,13
1544024892,191,0
1544025868,325,603
1544026645,3,8
1544027078,202,285
1544028019,184,318
1544028528,4,9
1544028999,194,278
1544029202,210,0
1544030178,193,285
1544030676,15,5
1544031139,225,296
1544032104,237,305
1544032590,4,5
1544033063,324,281
1544034012,192,283
1544034492,8,7
1544034990,199,292
1544035956,181,275
1544036423,5,4
1544037141,277,307
1544038353,217,337
1544039291,219,265
1544040290,304,297
1544041453,186,297
1544042168,2,4
1544042417,209,327
1544043386,191,608
1544043603,126,0
1544044370,200,308
1544045541,216,316
1544046252,3,7
1544046491,158,292
1544047463,321,350
1544048318,4,5
1544048674,204,297
1544049858,191,305
1544050855,204,292
1544052286,312,363
1544053456,221,317
1544054167,6,5
1544054420,209,297
1544055383,267,3121
1544056092,36,55
1544056334,233,343
1544057293,400,347
1544058263,284,311
1544059218,237,334
1544059933,21,43
1544060444,263,345
1544061368,235,319
1544061602,85,0
1544062343,234,349
1544063291,235,331
1544064261,237,326
1544065223,225,358
1544066186,275,291
1544067379,251,404
1544068340,225,358
1544068803,51,0
1544069316,266,225
1544070278,260,225
1544071241,231,195
1544072202,268,258
1544072402,53,0
1544073400,239,424
1544074362,259,222
1544075295,233,0
1544076290,342,453
1544077236,278,0
1544078205,245,256
1544079375,233,269
1544079602,135,0
1544080364,277,257
1544081541,258,233
1544082251,4,10
1544082493,222,268
1544083466,412,485
1544084425,262,229
1544085391,274,0
1544086364,69,215
1544086802,139,0
1544087301,0,370
1544088277,3,276
1544089234,91,226
1544090172,9,237
1544090402,155,0
1544091138,84,232
1544091613,25,60
1544092115,4,264
1544093079,0,225
1544094049,104,248
1544094987,106,227
1544095942,7,210
1544096892,0,212
1544097879,201,241
1544098819,0,242
1544099803,203,265
1544100736,0,289
1544101202,242,0
1544101719,9,264
1544102672,109,268
1544103613,5,9
1544104572,0,277
1544104802,215,0
1544105545,109,272
1544106492,0,285
1544107456,16,520
1544108429,119,242
1544109403,116,254
1544111293,106,574
1544112268,144,0
1544113217,9,296
1544114192,107,257
1544115138,12,260
1544115603,147,0
1544116123,0,266
1544117075,130,247
1544118012,0,300
1544118974,5,325
1544119202,137,0
1544119936,92,311
1544120895,8,278
1544121856,0,262
1544122840,208,272
1544123784,170,261
1544124740,13,0
1544125955,108,587
1544126672,138,9
1544127138,0,289
1544128089,84,277
1544128571,4,10
1544129071,0,311
1544130022,0,256
1544130529,189,0
1544131002,0,272
1544132433,15,8
1544132893,0,504
1544133858,106,0
1544134360,6,7
1544134819,0,274
1544135789,0,363
1544136256,8,5
1544137248,0,258
1544138238,199,303
1544139404,0,312
1544140339,12,341
1544141333,0,315
1544141702,105,3993
1544142279,51,344
1544143213,253,360
1544144194,7,492
1544145167,0,360
1544145302,144,0
1544146113,26,395
1544147057,0,359
1544148025,13,392
1544148981,135,389
1544149964,230,399
1544150896,0,431
1544151859,4,429
1544152819,116,442
1544153805,11,527
1544154753,0,426
1544155698,14,9
1544156102,142,0
1544156655,202,482
1544157622,21,514
1544158578,0,478
1544159550,7,518
1544159702,146,0
