DateTime,Entries,UniqueIPs
1544007789,679474,713745
1544008324,679475,713747
1544008923,679478,713750
1544010122,679479,713751
1544010723,679376,713648
1544011391,679379,713651
1544011923,679385,713660
1544012523,679386,713661
1544013723,679475,713750
1544014323,679477,713755
1544014923,679530,713809
1544014989,679528,713807
1544015523,679531,713810
1544016124,679534,713813
1544016723,679536,713826
1544017322,679537,713827
1544017923,679555,713845
1544018587,679565,713855
1544019609,679472,713762
1544019723,679488,713782
1544020323,679582,713881
1544020923,679618,713919
1544022123,679621,713923
1544022185,679620,713922
1544022723,679633,713936
1544023323,679642,713945
1544023885,679681,713984
1544024524,679684,713988
1544025123,679688,713992
1544025730,679692,713996
1544026323,679695,713999
1544026923,679700,714004
1544027523,679669,713974
1544028122,679673,713979
1544028724,679675,713984
1544029388,679681,713991
1544029923,679691,714002
1544030652,679690,714004
1544031123,679746,714060
1544031603,679707,714021
1544031723,679708,714022
1544032323,679727,714043
1544032988,679738,714055
1544034123,679744,714063
1544034723,679806,714126
1544035324,679810,714130
1544036523,679853,714179
1544037123,679863,714198
1544037844,679738,714074
1544038323,679739,714075
1544038923,679749,714086
1544040188,679848,714188
1544040724,679849,714189
1544041323,679854,714194
1544042523,679857,714199
1544043789,679910,714252
1544044324,679771,714113
1544044923,679773,714116
1544045523,679869,714215
1544046123,679872,714219
1544046722,679874,714221
1544047387,679874,714222
1544048523,679879,714228
1544049123,679887,714237
1544049724,679892,714242
1544050987,679813,714164
1544052243,679964,714316
1544052735,679854,714208
1544054590,679918,714276
1544055123,679935,714294
1544056083,679848,714207
1544056924,679850,714209
1544057523,679852,714211
1544058187,679851,714210
1544058722,679852,714212
1544059922,679853,714213
1544060406,679828,714187
1544061786,679830,714190
1544062323,679756,714116
1544062924,679761,714123
1544063522,679826,714188
1544064123,679828,714191
1544064722,679829,714192
1544065389,679827,714190
1544065923,679828,714191
1544066525,679832,714199
1544067123,679875,714245
1544067724,679883,714256
1544068323,679879,714252
1544068923,679770,714143
1544068992,679768,714141
1544069523,679801,714180
1544070123,679802,714181
1544070723,679894,714274
1544071322,679898,714278
1544071923,679902,714283
1544072587,679906,714287
1544073124,679909,714290
1544073723,679912,714297
1544074324,679899,714287
1544074923,679899,714288
1544075523,679903,714292
1544076244,679815,714207
1544076723,679817,714210
1544077323,679821,714214
1544077923,679925,714318
1544078523,679928,714321
1544079123,679934,714329
1544079731,679932,714327
1544080923,679933,714329
1544081523,679974,714370
1544082243,679878,714275
1544083387,679952,714351
1544083924,679954,714353
1544084523,679955,714354
1544085123,679956,714355
1544085723,679964,714364
1544086323,679968,714369
1544086924,679970,714371
1544086986,679968,714369
1544087523,679971,714372
1544088123,679971,714373
1544088723,679973,714377
1544089323,680015,714419
1544090162,679983,714387
1544090589,680044,714451
1544091123,680045,714452
1544092082,680018,714430
1544092323,680021,714434
1544092923,680023,714436
1544093523,680027,714440
1544094187,680028,714441
1544095323,680029,714442
1544095923,680089,714505
1544096523,680092,714508
1544097124,680094,714511
1544097789,680095,714512
1544098812,679997,714413
1544098923,680003,714420
1544099523,680005,714422
1544100723,680014,714432
1544101323,680162,714581
1544101387,680160,714579
1544101923,680160,714580
1544103723,680162,714582
1544104563,680044,714464
1544104992,680057,714477
1544106123,680059,714481
1544106736,680140,714564
1544107323,680145,714569
1544107923,680146,714570
1544108591,680192,714617
1544109123,680193,714618
1544110298,680151,714576
1544110923,680179,714609
1544111282,680099,714528
1544111523,680104,714535
1544112188,680163,714594
1544113324,680170,714604
1544113922,680172,714607
1544114522,680174,714610
1544115123,680118,714554
1544115723,680192,714628
1544115793,680190,714626
1544116323,680194,714630
1544116923,680197,714634
1544117474,680268,714705
1544118123,680275,714714
1544119393,680276,714715
1544119923,680279,714719
1544120524,680280,714721
1544120882,680174,714615
1544121123,680252,714694
1544121723,680254,714697
1544122987,680267,714711
1544123523,680267,714713
1544124123,680276,714722
1544124723,680337,714783
1544125323,680339,714785
1544125922,680280,714726
1544126523,680288,714734
1544127843,680218,714664
1544128265,680309,714755
1544128923,680314,714762
1544129523,680314,714764
