DateTime,Entries,UniqueIPs
1542924902,6739,632377890
1542928442,6739,632377890
1542929410,6739,632377890
1542932111,6745,632377896
1542933009,6745,632377896
1542935702,6764,632377915
1542939302,6767,632377917
1542942902,6764,632377914
1542946503,6758,632377908
1542948602,6757,632373812
1542950102,6754,632373809
1542953704,6755,632373812
1542957002,6755,632373812
1542957302,6756,632373813
1542960903,6754,632373812
1542964502,6753,632373812
1542967925,6756,632373813
1542971466,6753,632373810
1542974415,6842,632373899
1542975302,6842,632373899
1542978249,6835,632336011
1542978794,6835,632336010
1542982503,6835,632336009
1542986168,6836,632336010
1542990003,6836,632336010
1542990310,6836,632336010
1542993303,6835,632336009
1542994056,6836,632336009
1542996679,6835,632336009
1543000802,6837,632336012
1543004102,6838,632336013
1543007703,6837,632336012
1543011303,6839,632336013
1543015202,6839,632336013
1543018563,6837,632336011
1543019725,6837,632336011
1543022103,6845,632336019
1543025712,6847,632336021
1543029303,6844,632336019
1543032903,6828,632336003
1543036508,6830,632336005
1543040105,6835,632336009
1543043764,6836,632336010
1543047615,6831,632336005
1543050695,6827,632336001
1543054311,6827,632336001
1543058102,6829,632336003
1543061703,6830,632336005
1543064102,6826,632289669
1543065302,6822,632289665
1543069207,6823,632289666
1543072502,6826,632289669
1543073429,6826,632289669
1543076101,6828,632289670
1543079704,6828,632289669
1543080728,6827,632289669
1543082702,6828,632289669
1543083302,6827,632289669
1543083777,6826,632289669
1543086903,6826,632289668
1543087803,6826,632289668
1543090569,6825,632289666
1543094412,6826,632289669
1543096328,6826,632289669
1543097702,6828,632289671
1543102083,6827,632289670
1543102802,6827,632289670
1543104910,6846,632289688
1543105927,6846,632289688
1543108802,6848,632289691
1543112103,6846,632289690
1543115766,6829,632289674
1543116610,6829,632289674
1543119614,6829,632289675
1543122902,6827,632289670
1543126502,6826,632289668
1543130103,6825,632289667
1543133767,6823,632289665
1543137609,6824,632289666
1543140905,6822,632289664
1543148104,6821,632289663
1543150835,6822,632286335
1543151703,6822,632286336
1543155364,6824,632286338
1543158904,6824,632286338
1543162505,6824,632286338
1543163403,6824,632286338
1543165888,6823,632286337
1543166884,6823,632286337
1543169703,6822,632286334
1543173303,6825,632286337
1543174203,6825,632286337
1543176902,6828,632286340
1543180564,6830,632286342
1543181225,6830,632286342
1543184103,6828,632286340
1543191143,6834,632286347
1543194716,6844,632286357
1543198504,6841,632286354
1543202102,6825,632286338
1543205768,6803,632286318
1543209307,6809,632286324
1543212903,6806,632286320
1543216802,6801,632286314
1543219893,6802,632286313
1543223703,6801,632286313
1543227302,6800,632286312
1543230969,6801,632286314
1543234503,6800,632286313
1543236902,6800,632285545
1543238103,6799,632285545
1543241703,6799,632285544
1543245087,6799,632285543
1543246204,6799,632285543
1543248902,6801,632285547
1543254724,6809,632285555
1543257016,6816,632285562
1543260002,6819,632285565
1543263304,6816,632285561
1543266902,6817,632285561
1543270509,6815,632285559
1543274169,6815,632285559
1543275602,6815,632285559
1543276834,6814,632285558
1543277705,6819,632285563
1543281303,6826,632285570
1543282814,6826,632285570
1543284903,6827,632285571
1543288284,6824,632285568
1543292103,6824,632285570
1543295768,6826,632285574
1543299615,6827,632285575
1543302903,6819,632285567
1543306273,6822,632285567
1543310103,6820,632285565
1543313703,6818,632285563
1543317303,6818,632285564
1543320903,6816,632285562
1543323604,6819,632268410
1543324569,6818,632268409
1543328409,6813,632268404
1543331702,6814,632268404
1543335303,6819,632268408
1543337402,6818,632268408
1543338903,6819,632268409
1543342503,6820,632268410
1543346403,6819,632268410
1543349102,6820,632268410
1543349704,6819,632268409
1543353306,6821,632268411
1543356902,6820,632268410
1543360502,6817,632268407
1543362007,6816,632268407
1543364129,6846,632268437
1543368002,6845,632268435
1543370134,6846,632268435
1543371303,6848,632268437
1543374912,6832,632268422
1543378502,6823,632268413
1543382103,6822,632268412
1543383849,4785,632266365
1543385768,6825,632268414
1543389305,6824,632268414
1543392692,6836,631667585
1543396502,6836,631667586
1543399903,6837,631667585
1543403702,6833,631667582
1543407367,6830,631667579
1543410002,6829,631624059
1543411209,6831,631624063
1543414503,6831,631624062
1543416002,6830,631624062
1543418102,6832,631624063
1543419602,6832,631624063
1543421728,6833,631624065
1543425302,6831,631624063
1543426220,6832,631624063
1543428967,6829,631624060
1543430402,6829,631623804
1543431604,6829,631623804
1543432523,6834,631623808
1543435223,6834,631623808
1543435917,6831,631623804
1543439528,6831,631623805
1543440725,6831,631623805
1543443329,6831,631623805
1543446905,6828,631623802
1543448102,6828,631623802
1543450809,6838,631623812
1543454103,6841,631623815
1543455302,6841,631623815
1543458002,6840,631623814
1543461303,6821,631623796
1543461602,6826,631979124
1543464904,6826,631979125
1543468541,6828,631979127
1543472166,6830,631979128
1543476007,6830,631979127
1543479330,6829,631979127
1543482904,6828,631979126
1543486534,6827,631979125
1543490104,6827,631979126
1543493703,6824,631979122
1543496102,6827,631939698
1543497372,6824,631939696
1543501207,6825,631939697
1543504504,6824,631939694
1543506964,6824,631939694
1543508104,6826,631939696
1543513202,6826,631939696
1543513502,6824,631939694
1543516808,6823,631939694
1543518016,6823,631939694
1543518902,6828,631939699
1543520102,6828,631939699
1543522568,6829,631939700
1543526409,6828,631939699
1543529703,6829,631939700
1543533303,6829,631939702
1543536747,6833,631939706
1543540504,6841,631939714
1543541423,6841,631939714
1543543925,6841,631939714
1543544105,6840,631939711
1543544402,6825,631922047
1543547767,6815,631922036
1543551613,6815,631922037
1543554912,6815,631922037
1543558313,6812,631922035
1543562103,6809,631922032
1543565702,6805,631922028
1543569304,6806,631922029
1543572966,6808,631922031
1543576503,6810,631922033
1543579236,6810,631922033
1543579909,6809,631922032
1543581016,6809,631922032
1543582568,6809,631922032
1543582804,6802,631897456
1543583702,6798,631897452
1543587303,6795,631897448
1543590902,6796,631897449
1543594502,6796,631897448
1543598402,6797,631897450
1543599844,6797,631897450
1543601767,6797,631897450
1543605608,6797,631897449
1543608902,6797,631897449
1543612502,6800,631897453
1543616103,6802,631897455
1543619768,6803,631897457
1543625102,6813,631897467
1543627202,6829,631897484
1543630802,6833,631897487
1543634168,6826,631897479
1543637702,6817,631897470
1543641310,6815,631897468
1543644906,6813,631897466
1543648516,6808,631897461
1543652104,6811,631897464
1543655710,6813,631897466
1543659302,6811,631897464
1543662967,6805,631897458
1543666812,6807,631897460
1543669204,6807,631870580
1543670103,6807,631870581
1543673704,6808,631870581
1543677105,6810,631870584
1543680903,6811,631870585
1543684502,6809,631870583
1543688164,6811,631870583
1543692009,6808,631870580
1543695304,6808,631870580
1543698903,6808,631870580
1543702504,6810,631870582
1543706102,6811,631870584
1543707602,6811,631870584
1543709703,6812,631870585
1543713304,6832,631870604
1543716965,6836,631870608
1543720345,6833,631870605
1543724103,6827,631870599
1543727702,6828,631870601
1543731305,6828,631870601
1543734903,6827,631870601
1543738502,6825,631870599
1543742102,6827,631870600
1543745767,6823,631870596
1543749123,6827,631870600
1543753455,6827,631870600
1543755736,6826,631870344
1543756503,6827,631870345
1543760103,6824,631870342
1543763702,6827,631870345
1543767304,6828,631870347
1543769401,6827,631870347
1543770902,6826,631870346
1543774567,6825,631870345
1543778102,6825,631870345
1543780829,6826,631870345
1543781704,6826,631870345
1543783571,6825,631870345
1543785303,6826,631870346
1543786219,6827,631870346
1543788734,6827,631870346
1543792568,6828,631870346
1543793424,6828,631870346
1543797017,6828,631870346
1543798566,6833,631870351
1543800097,6840,631870359
1543803302,6838,631870357
1543807201,6821,631870339
1543810502,6813,631870331
1543814167,6814,631870332
1543817710,6814,631870332
1543820167,6814,631870332
1543821302,6815,631870332
1543824903,6816,631870333
1543828274,6815,631870332
1543832108,6816,631870333
1543835765,6816,631870334
1543839858,6815,631870334
1543840502,6815,631870334
1543842003,6821,631870590
1543842903,6819,631870588
1543846503,6822,631870591
1543850103,6826,631870594
1543853768,6821,631870588
1543857063,6822,631870590
1543860903,6821,631870590
1543863364,6822,631870846
1543864536,6828,631870852
1543868104,6827,631870851
1543872902,6832,631870856
1543875845,6836,631870858
1543879686,6836,631870860
1543882802,6841,631870867
1543886103,6854,631870881
1543890612,6856,631870883
1543893845,6852,631870876
1543896902,6840,631870866
1543900502,6836,631870862
1543904104,6836,631870862
1543907704,6830,631870855
1543911302,6830,631870855
1543914978,6829,631870854
1543918803,6829,631870854
1543922102,6831,631870856
1543926002,6829,631870854
1543928418,6823,631831430
1543929363,6822,631831428
1543932903,6824,631831431
1543936502,6822,631831429
1543940102,6823,631831430
1543943102,6823,631831430
1543943703,6823,631831430
1543944725,6823,631831430
1543947302,6824,631831430
1543950904,6823,631831429
1543951634,6824,631831429
1543955045,6825,631831430
1543958102,6824,631831429
1543961703,6825,631831429
1543965099,6826,631831431
1543970883,6838,631831444
1543973102,6842,631831448
1543976103,6842,631831447
1543979704,6822,631831427
1543983304,6820,631831425
1543986914,6821,631831426
1543990577,6820,631831425
1543994102,6817,631831422
1543998001,6820,631831425
1544001602,6820,631831425
1544004902,6818,631831423
1544008568,6820,631831425
1544012103,6819,631831424
1544014839,6822,631880576
1544015727,6822,631880576
1544019306,6818,631880572
1544021513,6817,631880572
1544022909,6819,631880574
1544023814,6819,631880574
1544026567,6819,631880574
1544030646,6814,631880569
1544034002,6820,631880575
1544037602,6817,631880572
1544040904,6817,631880572
1544044502,6816,631880571
1544045702,6816,631880571
1544048163,6818,631880573
1544052247,6818,631880575
1544055304,6820,631880577
1544058902,6828,631880585
1544062505,6833,631880590
1544066167,6821,631880577
1544069704,6811,631880568
1544073602,6812,631880569
1544076902,6812,631880569
1544080502,6815,631880572
1544084413,6814,631880571
1544087709,6814,631880572
1544091306,6813,631880571
1544094902,6809,631880566
1544098504,6812,631880569
1544100902,6814,631864953
1544102104,6814,631864953
1544105702,6816,631864954
1544108404,6815,631864698
1544109366,6814,631864698
1544109902,6814,631864698
1544113206,6813,631864698
1544116504,6810,631864695
1544117404,6810,631864695
1544120102,6810,631864696
1544122822,6811,631864952
1544123704,6809,631864950
1544127302,6810,631864949
1544130903,6810,631864949
1544134503,6810,631864949
1544138177,6811,631864950
1544139602,6810,631864950
1544143503,6841,631864982
1544146085,6841,631864980
1544148903,6841,631864981
1544152504,6818,631864956
1544156113,6821,631864959
1544160002,6826,631864966
1544163364,6823,631864963
1544167450,6817,631864956
1544170507,6818,631864957
1544173502,6817,631864956
1544174103,6818,631864957
1544177707,6818,631864956
1544181320,6818,631864955
1544184902,6817,631864955
1544187605,6819,631844219
1544188566,6821,631844221
1544195702,6822,631844222
1544199303,6821,631844221
1544202904,6819,631844220
1544203804,6818,631843964
1544206502,6817,631843963
1544210174,6815,631843961
1544211011,6815,631843961
1544213761,6816,631843962
1544217304,6816,631843962
1544218202,6815,631843450
1544220682,6816,631843451
1544224802,6817,631843452
1544228128,6824,631843459
1544231704,6833,631843467
1544235367,6837,631843473
1544239203,6835,631843471
1544242505,6828,631843464
1544245227,6828,631843464
1544246102,6825,631843459
1544246884,6819,631841923
1544248071,6825,631843459
1544249477,6826,631843460
1544253305,6822,631843456
1544256968,6823,631843456
1544260503,6822,631843455
1544263909,6819,631843452
1544268615,6822,631843455
1544271302,6821,631843454
1544273702,6816,631806334
1544275021,6819,631806339
1544278809,6819,631806339
1544281892,6818,631806340
1544282644,6819,631806341
1544285705,6817,631806340
1544286723,6955,631806479
1544289359,6952,631806476
1544290567,6953,631806477
1544292484,6954,631806478
1544292932,6955,631806477
1544294403,6954,631806477
1544296567,6955,631806479
1544300404,6955,631806478
1544303704,6957,631806480
1544305202,6958,631806480
1544307302,6958,631806480
1544310903,6959,631806480
1544312405,6959,631806480
1544316483,6976,631806499
1544318702,6976,631806499
1544319302,6976,631806499
1544321706,6977,631806498
1544325303,6958,631806478
1544328914,6955,631806474
1544332504,6955,631806474
1544336102,6953,631806472
1544339768,6953,631806472
1544341926,6989,631806508
1544343303,6992,631806511
1544346903,6993,631806512
1544347690,6994,631806513
1544350503,6996,631806515
1544351523,6997,631806516
