DateTime,Entries,UniqueIPs
1543375955,2809,2809
1543377864,2817,2817
1543380020,2835,2835
1543381963,2826,2826
1543383860,2838,2838
1543385802,2836,2836
1543387956,2833,2833
1543389873,2852,2852
1543391775,2862,2862
1543393960,2869,2869
1543395873,2866,2866
1543397801,2869,2869
1543399726,2876,2876
1543401621,2892,2892
1543403560,1459,1459
1543405466,1461,1461
1543407388,1978,1978
1543409295,1995,1995
1543411223,2020,2020
1543413155,2035,2035
1543415079,2053,2053
1543417234,2092,2092
1543419389,2108,2108
1543421382,2112,2112
1543423218,2126,2126
1543425159,2129,2129
1543427076,2134,2134
1543428989,2140,2140
1543431137,2147,2147
1543433059,2148,2148
1543434996,2156,2156
1543436916,2175,2175
1543438829,2197,2197
1543440760,2222,2222
1543442922,2268,2268
1543444834,2299,2299
1543446741,2303,2303
1543448659,2296,2296
1543450823,2813,2813
1543452753,2828,2828
1543454674,2840,2840
1543456598,2844,2844
1543458509,2841,2841
1543460472,2868,2868
1543462358,2874,2874
1543464275,2884,2884
1543466413,2897,2897
1543468388,2900,2900
1543470277,2908,2908
1543472204,2910,2910
1543474124,2911,2911
1543476034,2920,2920
1543477957,2936,2936
1543479875,2956,2956
1543481775,2973,2973
1543483968,2995,2995
1543485860,3008,3008
1543487793,3021,3021
1543489723,1832,1832
1543491641,1836,1836
1543493563,2447,2447
1543495461,2469,2469
1543497393,2482,2482
1543499314,2495,2495
1543501218,2495,2495
1543503160,2503,2503
1543505076,2509,2509
1543506970,2508,2508
1543509156,2530,2530
1543511080,2535,2535
1543512991,2544,2544
1543514924,2546,2546
1543516839,2608,2608
1543518744,2623,2623
1543520655,2612,2612
1543522604,2606,2606
1543524502,2608,2608
1543526439,2603,2603
1543528337,2622,2622
1543530291,2623,2623
1543532213,2621,2621
1543534116,2618,2618
1543536025,3187,3187
1543537940,3186,3186
1543539896,3191,3191
1543541773,3195,3195
1543543960,3187,3187
1543545854,3191,3191
1543547804,3175,3175
1543549723,3169,3169
1543551625,3169,3169
1543553560,3152,3152
1543555474,3152,3152
1543557397,3138,3138
1543559315,3127,3127
1543561227,3119,3119
1543563144,3131,3131
1543565062,3145,3145
1543567002,3144,3144
1543568927,3137,3137
1543570844,3143,3143
1543573011,3145,3145
1543574891,3141,3141
1543576835,1546,1546
1543578751,1543,1543
1543580676,2319,2319
1543582594,2334,2334
1543584516,2325,2325
1543586442,2318,2318
1543588343,2345,2345
1543590281,2331,2331
1543592186,2330,2330
1543594166,2336,2336
1543596018,2322,2322
1543597940,2325,2325
1543599877,2317,2317
1543601785,2309,2309
1543603715,2314,2314
1543605620,2308,2308
1543607556,2294,2294
1543609694,2274,2274
1543611879,2244,2244
1543614036,2217,2217
1543615968,2211,2211
1543617859,2198,2198
1543619783,2195,2195
1543621959,2184,2184
1543623853,2894,2894
1543625794,2889,2889
1543628204,2880,2880
1543630100,2878,2878
1543632034,2873,2873
1543634186,2877,2877
1543636111,2868,2868
1543638020,2865,2865
1543639939,2851,2851
1543641876,2834,2834
1543643773,2876,2876
1543645695,2860,2860
1543647639,2864,2864
1543649556,2857,2857
1543651458,2847,2847
1543653392,2832,2832
1543655298,2809,2809
1543657212,2786,2786
1543659136,2771,2771
1543661057,2753,2753
1543662980,1416,1416
1543664891,1417,1417
1543666822,1968,1968
1543668749,1974,1974
1543670652,1976,1976
1543672835,1980,1980
1543674737,2001,2001
1543676656,2020,2020
1543678588,2040,2040
1543680538,2041,2041
1543682412,2041,2041
1543684357,2048,2048
1543686254,2063,2063
1543688177,2067,2067
1543690095,2074,2074
1543692021,2077,2077
1543693955,2066,2066
1543695852,2053,2053
1543697775,2062,2062
1543699694,2059,2059
1543701636,2059,2059
1543703560,2055,2055
1543705465,2055,2055
1543707381,2045,2045
1543709324,2537,2537
1543711217,2541,2541
1543713142,2557,2557
1543715057,2546,2546
1543716980,2550,2550
1543718919,2541,2541
1543720818,2551,2551
1543722747,2545,2545
1543724657,2537,2537
1543726574,2542,2542
1543728501,2536,2536
1543730443,2537,2537
1543732340,2534,2534
1543734263,2540,2540
1543736183,2562,2562
1543738099,2545,2545
1543740015,2529,2529
1543741945,2539,2539
1543743868,2534,2534
1543745784,2519,2519
1543747696,2522,2522
1543749631,1338,1338
1543751534,1332,1332
1543753477,1875,1875
1543755394,1883,1883
1543757292,1885,1885
1543759239,1903,1903
1543761144,1903,1903
1543763078,1906,1906
1543764972,1926,1926
1543766964,1932,1932
1543768835,1938,1938
1543770758,1944,1944
1543772677,1965,1965
1543774602,1972,1972
1543776735,1987,1987
1543778669,1987,1987
1543780834,1995,1995
1543782984,1978,1978
1543784922,1983,1983
1543786835,1976,1976
1543788738,1992,1992
1543790678,1995,1995
1543792605,2013,2013
1543794757,2010,2010
1543796671,2485,2485
1543798575,2497,2497
1543800514,2504,2504
1543802442,2500,2500
1543804359,2502,2502
1543806282,2504,2504
1543808169,2502,2502
1543810359,2515,2515
1543812259,2514,2514
1543814194,2536,2536
1543816089,2536,2536
1543818026,2543,2543
1543820178,2547,2547
