DateTime,AddedIPs,RemovedIPs
1543634645,10,8
1543635129,9,11
1543635604,12,10
1543636086,9,10
1543636565,9,8
1543637051,5,5
1543637525,6,10
1543638013,10,10
1543638485,11,7
1543638968,8,8
1543639448,6,6
1543639928,9,5
1543640430,3,5
1543640886,6,10
1543641366,9,7
1543641850,7,14
1543642329,12,7
1543642805,6,8
1543643293,10,10
1543643767,16,12
1543644249,6,6
1543644725,4,5
1543645205,5,6
1543645689,8,11
1543646169,10,9
1543646650,7,21
1543647125,21,10
1543647631,13,6
1543648087,6,6
1543648569,10,9
1543649044,6,6
1543649527,7,8
1543650004,8,7
1543650490,6,10
1543650966,8,4
1543651446,8,11
1543651926,8,8
1543652412,7,3
1543652885,5,4
1543653365,1,0
1543653848,1,2
1543713128,1,8
1543713605,8,4
1543714089,7,7
1543714567,7,9
1543715047,10,10
1543715525,8,11
1543716018,13,7
1543716488,8,8
1543716967,8,9
1543717447,8,6
1543717927,7,6
1543718405,6,11
1543718891,11,12
1543719367,9,5
1543719847,8,12
1543720329,12,8
1543720812,8,5
1543721287,6,6
1543721765,4,11
1543722245,11,8
1543722729,8,7
1543723211,6,5
1543723685,5,4
1543724168,6,7
1543724645,8,10
1543725127,9,10
1543725604,7,9
1543726094,11,4
1543726567,4,9
1543727050,10,9
1543727526,9,10
1543728004,10,9
1543728485,8,4
1543728970,5,8
1543729445,9,10
1543729929,10,9
1543730435,10,8
1543730886,5,5
1543731368,5,7
1543731844,6,12
1543732327,16,9
1543732804,8,6
1543733288,7,9
1543733768,7,7
1543734249,6,7
1543734727,8,8
1543735207,8,5
1543735688,7,11
1543736169,8,7
1543736647,6,7
1543737124,4,2
1543737617,4,11
1543738087,12,6
1543738568,5,3
1543739044,5,7
1543739526,9,1
1543740008,0,1
1543774569,0,1
1543775045,1,0
1543799046,0,8
1543799526,9,11
1543800004,9,3
1543800490,8,11
1543800965,7,4
1543801449,5,10
1543801925,8,11
1543802421,12,9
1543802889,8,8
1543803369,10,12
1543803844,10,9
1543804328,10,9
1543804805,7,9
1543805289,11,8
1543805767,6,8
1543806247,7,9
1543806969,9,7
1543807445,5,5
1543807927,10,13
1543808404,7,9
1543809128,10,7
1543809850,6,7
1543810326,8,7
1543810808,6,7
1543811289,9,12
1543811766,8,8
1543812247,8,11
1543812726,11,5
1543813225,7,6
1543813690,8,9
1543814170,7,8
1543814885,10,8
1543815368,7,11
1543815845,12,9
1543816329,18,14
1543816825,7,13
1543817285,9,8
1543817767,8,6
1543818244,6,9
1543818728,11,10
1543819208,7,6
1543819688,8,9
1543820169,5,6
1543820648,6,11
1543821125,9,6
1543821608,9,9
1543822089,10,10
1543822565,7,8
1543823051,8,8
1543823532,8,5
1543824018,9,8
1543824487,5,6
1543824969,6,5
1543825444,5,4
1543825928,3,1
1543826406,0,1
1543826888,1,0
1543885689,2,6
1543886169,7,10
1543886644,8,4
1543887125,11,10
1543887614,8,4
1543888088,8,11
1543888565,10,8
1543889050,7,6
1543889532,9,11
1543890005,8,5
1543890727,7,7
1543891205,5,7
1543891689,7,6
1543892169,6,10
1543892887,12,10
1543893369,8,8
1543893847,6,8
1543894326,9,10
1543894804,9,11
1543895288,8,7
1543895766,9,7
1543896250,6,8
1543896725,8,8
1543897211,8,7
1543897690,6,7
1543898167,10,11
1543898646,7,6
1543899127,6,7
1543899650,6,7
1543900087,7,6
1543900567,5,6
1543901045,6,5
1543901529,5,5
1543902009,6,11
1543902488,15,7
1543902965,4,5
1543903449,7,10
1543903926,7,5
1543904408,7,7
1543904886,6,12
1543905368,13,13
1543905849,9,5
1543906326,7,4
1543906816,3,3
1543907289,4,10
1543907768,14,8
1543908244,6,5
1543908725,7,8
1543909212,4,6
1543909684,6,5
1543910165,5,4
1543910648,9,6
1543911127,5,9
1543911609,6,4
1543912085,9,5
1543912565,1,2
1543971849,0,1
1543972324,1,5
1543972808,4,8
1543973286,12,8
1543973766,9,10
1543974249,8,8
1543974727,11,14
1543975210,10,6
1543975691,10,13
1543976170,13,6
1543976645,4,8
1543977127,9,9
1543977607,10,9
1543978088,9,7
1543978567,9,8
1543979046,5,6
1543979530,9,12
1543980005,9,6
1543980489,11,9
1543980970,9,8
1543981688,7,10
1543982164,8,6
1543982652,6,7
1543983126,7,8
1543983615,8,4
1543984088,5,11
1543984568,11,8
1543985045,8,8
1543985534,10,8
1543986018,4,6
1543986492,6,6
1543986967,7,10
1543987685,11,8
1543988411,8,11
1543988885,12,10
1543989368,8,5
1543989848,9,7
1543990580,5,7
1543991047,7,3
1543991770,3,10
1543992246,10,6
1543992730,8,10
1543993212,8,8
1543993686,8,8
1543994168,11,8
1543994655,7,10
1543995127,6,8
1543995607,8,9
1543996091,6,7
1543996568,9,8
1543997046,8,10
1543997527,5,5
1543998005,8,9
1543998732,10,2
1543999207,2,1
1543999689,0,1
1544000167,1,0
1544058247,0,7
1544058728,6,5
1544059209,5,8
1544059928,9,12
1544060410,11,8
1544060886,9,10
1544061364,11,11
1544061850,12,6
1544062327,7,12
1544062804,11,9
1544063285,6,3
1544063766,5,7
1544064246,5,6
1544064727,10,9
1544065214,9,9
1544065687,6,3
1544066170,7,8
1544066885,7,16
1544067367,11,8
1544067845,6,9
1544068330,9,6
1544068815,6,5
1544069286,6,9
1544069771,8,5
1544070246,4,4
1544070730,5,7
1544071204,8,8
1544071688,8,6
1544072167,8,6
1544072890,5,4
1544073368,5,7
1544073846,6,9
1544074328,9,8
1544074805,10,8
1544075287,7,11
1544075772,19,14
1544076248,6,5
1544076728,8,8
1544077207,6,7
1544077688,10,9
1544078169,7,10
1544078885,14,15
1544079367,10,5
1544079848,7,5
1544080328,5,9
1544080806,9,8
1544081529,10,13
1544082004,10,3
1544082486,5,8
1544082964,8,10
1544083450,9,6
1544083926,5,9
1544084415,10,4
1544084885,3,3
1544085365,2,1
1544131926,0,1
1544132407,1,0
1544144651,1,7
1544145126,6,5
1544145608,6,5
1544146087,4,7
1544146565,10,9
1544147049,7,6
1544147527,9,10
1544148015,9,3
1544148489,7,11
1544148967,10,10
1544149444,6,9
1544149928,10,8
1544150407,7,9
1544150889,10,7
1544151367,7,6
1544151846,7,9
1544152325,9,8
1544152811,7,10
1544153285,9,8
1544153764,10,9
1544154252,6,6
1544154726,6,6
1544155207,8,9
1544155686,7,7
1544156168,8,8
1544156645,5,6
1544157128,9,11
1544157608,7,5
1544158086,6,8
1544158567,8,4
1544159050,3,6
1544159525,5,8
1544160248,8,10
1544160731,8,5
1544161204,6,10
1544161688,17,16
1544162166,8,5
1544162647,6,8
1544163127,9,8
1544163604,7,11
1544164330,14,9
1544164808,5,9
1544165290,12,12
1544165765,10,7
1544166247,7,8
1544166726,11,8
1544167452,6,7
1544167931,9,8
1544168405,6,6
1544168883,6,5
1544169368,7,11
1544169849,10,7
1544170328,7,7
1544170813,10,6
1544171285,6,4
1544171767,2,0
1544172245,0,1
1544172729,2,0
1544173686,0,1
1544174174,1,0
1544231526,3,8
1544232008,7,9
1544232489,9,5
1544232968,6,11
1544233447,10,13
1544233927,13,11
1544234416,9,9
1544234886,13,8
1544235369,8,8
1544235845,8,11
1544236327,10,7
1544236804,7,9
1544237290,12,8
1544237765,5,5
1544238250,8,6
1544238726,6,7
1544239205,6,8
1544239689,10,4
1544240166,5,11
1544240646,8,4
1544241129,5,12
1544241615,10,9
1544242089,8,5
1544242566,7,10
1544243046,7,6
1544243525,8,8
1544244009,8,9
1544244485,8,7
1544244965,8,6
1544245450,6,6
1544245926,5,5
1544246411,7,4
1544246886,5,12
1544247367,6,7
1544247844,10,6
1544248328,5,5
1544248811,10,11
1544249286,8,8
1544249768,6,7
1544250249,7,9
1544250967,9,12
1544251448,9,22
1544251927,21,9
1544252410,7,7
1544252889,8,10
1544253368,7,4
1544253844,4,8
1544254329,7,5
1544254805,7,5
1544255284,5,10
1544255765,10,9
1544256249,12,9
1544256970,5,7
1544257444,10,4
1544257927,2,0
1544258886,0,1
1544259611,1,0
1544317450,0,8
1544317925,6,7
1544318408,10,5
1544318888,5,10
1544319370,13,11
1544319850,9,10
1544320327,10,10
1544320815,9,9
1544321286,10,10
1544321771,10,8
1544322246,7,5
1544322726,9,7
1544323210,8,10
1544323686,10,7
1544324165,7,6
1544324649,8,7
1544325131,7,9
1544325605,8,6
1544326088,9,10
1544326565,3,12
1544327049,11,5
1544327525,7,10
