DateTime,Entries,UniqueIPs
1543634645,4839,4839
1543635129,4837,4837
1543635604,4839,4839
1543636086,4838,4838
1543636565,4839,4839
1543637051,4839,4839
1543637525,4835,4835
1543638013,4835,4835
1543638485,4839,4839
1543638968,4839,4839
1543639448,4839,4839
1543639928,4843,4843
1543640430,4841,4841
1543640886,4837,4837
1543641366,4839,4839
1543641850,4832,4832
1543642329,4837,4837
1543642805,4835,4835
1543643293,4835,4835
1543643767,4839,4839
1543644249,4839,4839
1543644725,4838,4838
1543645205,4837,4837
1543645689,4834,4834
1543646169,4835,4835
1543646650,4821,4821
1543647125,4832,4832
1543647631,4839,4839
1543648087,4839,4839
1543648569,4840,4840
1543649044,4840,4840
1543649527,4839,4839
1543650004,4840,4840
1543650490,4836,4836
1543650966,4840,4840
1543651446,4837,4837
1543651926,4837,4837
1543652412,4841,4841
1543652885,4842,4842
1543653365,4843,4843
1543653848,4842,4842
1543713128,4835,4835
1543713605,4839,4839
1543714089,4839,4839
1543714567,4837,4837
1543715047,4837,4837
1543715525,4834,4834
1543716018,4840,4840
1543716488,4840,4840
1543716967,4839,4839
1543717447,4841,4841
1543717927,4842,4842
1543718405,4837,4837
1543718891,4836,4836
1543719367,4840,4840
1543719847,4836,4836
1543720329,4840,4840
1543720812,4843,4843
1543721287,4843,4843
1543721765,4836,4836
1543722245,4839,4839
1543722729,4840,4840
1543723211,4841,4841
1543723685,4842,4842
1543724168,4841,4841
1543724645,4839,4839
1543725127,4838,4838
1543725604,4836,4836
1543726094,4843,4843
1543726567,4838,4838
1543727050,4839,4839
1543727526,4838,4838
1543728004,4839,4839
1543728485,4843,4843
1543728970,4840,4840
1543729445,4839,4839
1543729929,4840,4840
1543730435,4842,4842
1543730886,4842,4842
1543731368,4840,4840
1543731844,4834,4834
1543732327,4841,4841
1543732804,4843,4843
1543733288,4841,4841
1543733768,4841,4841
1543734249,4840,4840
1543734727,4840,4840
1543735207,4843,4843
1543735688,4839,4839
1543736169,4840,4840
1543736647,4839,4839
1543737124,4841,4841
1543737617,4834,4834
1543738087,4840,4840
1543738568,4842,4842
1543739044,4840,4840
1543739526,4848,4848
1543740008,4847,4847
1543774569,4846,4846
1543775045,4847,4847
1543799046,4839,4839
1543799526,4837,4837
1543800004,4843,4843
1543800490,4840,4840
1543800965,4843,4843
1543801449,4838,4838
1543801925,4835,4835
1543802421,4838,4838
1543802889,4838,4838
1543803369,4836,4836
1543803844,4837,4837
1543804328,4838,4838
1543804805,4836,4836
1543805289,4839,4839
1543805767,4837,4837
1543806247,4835,4835
1543806969,4837,4837
1543807445,4837,4837
1543807927,4834,4834
1543808404,4832,4832
1543809128,4835,4835
1543809850,4834,4834
1543810326,4835,4835
1543810808,4834,4834
1543811289,4831,4831
1543811766,4831,4831
1543812247,4828,4828
1543812726,4834,4834
1543813225,4835,4835
1543813690,4834,4834
1543814170,4833,4833
1543814885,4835,4835
1543815368,4831,4831
1543815845,4834,4834
1543816329,4838,4838
1543816825,4832,4832
1543817285,4833,4833
1543817767,4835,4835
1543818244,4832,4832
1543818728,4833,4833
1543819208,4834,4834
1543819688,4833,4833
1543820169,4832,4832
1543820648,4827,4827
1543821125,4830,4830
1543821608,4830,4830
1543822089,4830,4830
1543822565,4829,4829
1543823051,4829,4829
1543823532,4832,4832
1543824018,4833,4833
1543824487,4832,4832
1543824969,4833,4833
1543825444,4834,4834
1543825928,4836,4836
1543826406,4835,4835
1543826888,4836,4836
1543885689,4832,4832
1543886169,4829,4829
1543886644,4833,4833
1543887125,4834,4834
1543887614,4838,4838
1543888088,4835,4835
1543888565,4837,4837
1543889050,4838,4838
1543889532,4836,4836
1543890005,4839,4839
1543890727,4839,4839
1543891205,4837,4837
1543891689,4838,4838
1543892169,4834,4834
1543892887,4836,4836
1543893369,4836,4836
1543893847,4834,4834
1543894326,4833,4833
1543894804,4831,4831
1543895288,4832,4832
